Count,Bus ID,Bus Description,Nominal Voltage (kV),feeder,post_id
1,P00000000,5 MVA Power Transformer,13.2,F1,1
2,P00000001,Primary Line-Overhead,13.2,F1,2
3,P00000001-7,Primary Line-Overhead,13.2,F1,3
4,P00000001-7A,Primary Line-Overhead,13.2,F1,4
5,P00000001-9,Primary Line-Overhead,13.2,F1,5
6,P00000001-17,Primary Line-Overhead,13.2,F1,6
7,P00000001-19,Primary Line-Overhead,13.2,F1,7
8,P00000001-19-10,Primary Line-Overhead,13.2,F1,8
9,P00000001-19-38,Primary Line-Overhead,13.2,F1,9
10,P00000001-24,Primary Line-Overhead,13.2,F1,10
11,P0000000009,Primary Line-Overhead,13.2,F1,11
12,P0000000013,Primary Line-Overhead,13.2,F1,12
13,P0000000015,Primary Line-Overhead,13.2,F1,13
14,P0000000016,Primary Line-Overhead,13.2,F1,14
15,P0000000016-13,Primary Line-Overhead,13.2,F1,15
16,P0000000025,Primary Line-Overhead,13.2,F1,16
17,P0000000034,Primary Line-Overhead,13.2,F1,17
18,P000000034A,Primary Line-Overhead,13.2,F1,18
19,P0000000034-7,Primary Line-Overhead,13.2,F1,19
20,P0000000034-7A,Primary Line-Overhead,13.2,F1,20
21,P0000000034-9,Primary Line-Overhead,13.2,F1,21
22,P0000000034-9a,Primary Line-Overhead,13.2,F1,22
23,P0000000034-18,Primary Line-Overhead,13.2,F1,23
24,P0000000034-29,Primary Line-Overhead,13.2,F1,24
25,P0000000038,Primary Line-Overhead,13.2,F1,25
26,P0000000044,Primary Line-Overhead,13.2,F1,26
27,P0000000044-29,Primary Line-Overhead,13.2,F1,27
28,P0000000044-64,Primary Line-Overhead,13.2,F1,28
29,P0000000045,Primary Line-Overhead,13.2,F1,29
30,P0000000046,Primary Line-Overhead,13.2,F1,30
31,P0000000046-22,Primary Line-Overhead,13.2,F1,31
32,P0000000049,Primary Line-Overhead,13.2,F1,32
33,P0000000049A,Primary Line-Overhead,13.2,F1,33
34,P0000000049-3,Primary Line-Overhead,13.2,F1,34
35,P0000000054,Primary Line-Overhead,13.2,F1,35
36,P000000054A,Primary Line-Overhead,13.2,F1,36
37,P0000000054-20,Primary Line-Overhead,13.2,F1,37
38,P0000000065,Primary Line-Overhead,13.2,F1,38
39,P0000000072,Primary Line-Overhead,13.2,F1,39
40,P0000000072-7,Primary Line-Overhead,13.2,F1,40
41,P0000000073,Primary Line-Overhead,13.2,F1,41
42,P0000000076,Primary Line-Overhead,13.2,F1,42
43,P0000000090,Primary Line-Overhead,13.2,F1,43
44,P0000000091,Primary Line-Overhead,13.2,F1,44
45,P000000091A,Primary Line-Overhead,13.2,F1,45
46,P000000091B,Primary Line-Overhead,13.2,F1,46
47,P0000000092,Primary Line-Overhead,13.2,F1,47
48,P000000092A,Primary Line-Overhead,13.2,F1,48
49,P000000092B,Primary Line-Overhead,13.2,F1,49
50,P0000000092-2,Primary Line-Overhead,13.2,F1,50
51,P0000000092-5,Primary Line-Overhead,13.2,F1,51
52,P0000000092-7,Primary Line-Overhead,13.2,F1,52
53,P0000000092-8,Primary Line-Overhead,13.2,F1,53
54,P0000000092-9,Primary Line-Overhead,13.2,F1,54
55,P0000000093,Primary Line-Overhead,13.2,F1,55
56,P0000000094,Primary Line-Overhead,13.2,F1,56
57,P000000094A,Primary Line-Overhead,13.2,F1,57
58,P000000094B,Primary Line-Overhead,13.2,F1,58
59,P000000094C,Primary Line-Overhead,13.2,F1,59
60,P0000000095,Primary Line-Overhead,13.2,F1,60
61,P0000000095-7,Primary Line-Overhead,13.2,F1,61
62,P0000000099,Primary Line-Overhead,13.2,F1,62
63,P0000000100,Primary Line-Overhead,13.2,F1,63
64,P000000100A,Primary Line-Overhead,13.2,F1,64
65,P000000100B,Primary Line-Overhead,13.2,F1,65
66,P0000000100-1,Primary Line-Overhead,13.2,F1,66
67,P0000000100-2,Primary Line-Overhead,13.2,F1,67
68,P0000000100-6,Primary Line-Overhead,13.2,F1,68
69,P0000000100-6A,Primary Line-Overhead,13.2,F1,69
70,P0000000100-7,Primary Line-Overhead,13.2,F1,70
71,P0000000100-13,Primary Line-Overhead,13.2,F1,71
72,P0000000100-13m,Primary Line-Overhead,13.2,F1,72
73,P0000000100-13ag,Primary Line-Overhead,13.2,F1,73
74,P0000000100-13ag6,Primary Line-Overhead,13.2,F1,74
75,P0000000100-13ar,Primary Line-Overhead,13.2,F1,75
76,P0000000100-13ax,Primary Line-Overhead,13.2,F1,76
77,P0000000100-13ax15,Primary Line-Overhead,13.2,F1,77
78,P0000000100-13bj,Primary Line-Overhead,13.2,F1,78
79,P0000000100-16,Primary Line-Overhead,13.2,F1,79
80,P0000000100-20,Primary Line-Overhead,13.2,F1,80
81,P0000000100-28,Primary Line-Overhead,13.2,F1,81
82,P0000000100-30,Primary Line-Overhead,13.2,F1,82
83,P0000000100-30i,Primary Line-Overhead,13.2,F1,83
84,P0000000100-39,Primary Line-Overhead,13.2,F1,84
85,P0000000100-39h,Primary Line-Overhead,13.2,F1,85
86,P0000000100-39X,Primary Line-Overhead,13.2,F1,86
87,P0000000100-42,Primary Line-Overhead,13.2,F1,87
88,P0000000100-43,Primary Line-Overhead,13.2,F1,88
89,P0000000100-50,Primary Line-Overhead,13.2,F1,89
90,P0000000100-55,Primary Line-Overhead,13.2,F1,90
91,P0000000100-55-4,Primary Line-Overhead,13.2,F1,91
92,P0000000100-58,Primary Line-Overhead,13.2,F1,92
93,P0000000100-66,Primary Line-Overhead,13.2,F1,93
94,P0000000100-71,Primary Line-Overhead,13.2,F1,94
95,P0000000100-71-3,Primary Line-Overhead,13.2,F1,95
96,P0000000100-72,Primary Line-Overhead,13.2,F1,96
97,P0000000100-72M,Primary Line-Overhead,13.2,F1,97
98,P0000000100-72Q,Primary Line-Overhead,13.2,F1,98
99,P0000000100-72Q8,Primary Line-Overhead,13.2,F1,99
100,P0000000100-72Q8c,Primary Line-Overhead,13.2,F1,100
101,P0000000100-72Q12,Primary Line-Overhead,13.2,F1,101
102,P0000000100-72Y,Primary Line-Overhead,13.2,F1,102
103,P0000000100-74,Primary Line-Overhead,13.2,F1,103
104,P0000000100-79,Primary Line-Overhead,13.2,F1,104
105,P0000000100-85,Primary Line-Overhead,13.2,F1,105
106,P0000000102,Primary Line-Overhead,13.2,F1,106
107,P0000000106,Primary Line-Overhead,13.2,F1,107
108,P000000106A,Primary Line-Overhead,13.2,F1,108
109,P0000000106-1,Primary Line-Overhead,13.2,F1,109
110,P0000000106-2,Primary Line-Overhead,13.2,F1,110
111,P0000000108,Primary Line-Overhead,13.2,F1,111
