Bus_ID,Bus_Type,Feeder,Circuit,Pole
1,Secondary,F6,3 Phase,77
10,Secondary,F6,Single Phase,64-l
100,Primary,F6,3 Phase,100
100-1,Primary,F6,3 Phase,100-1
100-2,Primary,F6,3 Phase,100-2
100-3,Primary,F6,3 Phase,100-3
101,Primary,F6,3 Phase,101
102,Primary,F6,3 Phase,102
103,Primary,F7,3 Phase,103
104,Primary,F7,3 Phase,104
105,Primary,F7,3 Phase,105
106,Primary,F7,3 Phase,106
107,Primary,F7,3 Phase,107
108,Primary,F7,3 Phase,108
109,Primary,F7,3 Phase,109
11,Secondary,F6,Single Phase,64-m
110,Primary,F7,3 Phase,110
111,Primary,F7,3 Phase,111
112,Primary,F7,3 Phase,112
113,Primary,F7,3 Phase,113
1133-12-b,Transformer,F1,Single Phase,133-12-b
114,Primary,F7,3 Phase,114
115,Primary,F7,3 Phase,115
116,Primary,F7,3 Phase,116
117,Primary,F7,3 Phase,117
118,Primary,F7,3 Phase,118
119,Primary,F7,3 Phase,119
12,Secondary,F6,Single Phase,64-n
120,Primary,F7,3 Phase,120
121,Primary,F7,3 Phase,121
122,Primary,F7,3 Phase,122
123,Primary,F7,3 Phase,123
123-1,Primary,F7,Single Phase,123-1
123-2,Primary,F7,Single Phase,123-2
123-3,Primary,F7,Single Phase,123-3
124,Primary,F7,3 Phase,124
125,Primary,F7,3 Phase,125
126,Primary,F7,3 Phase,126
127,Primary,F7,3 Phase,127
128,Primary,F7,3 Phase,128
128-1,Primary,F7,Single Phase,128-1
129,Primary,F7,3 Phase,129
13,Secondary,F6,Single Phase,64-n-b-a
130,Primary,F7,3 Phase,130
131,Primary,F7,3 Phase,131
131-4-A,Primary,F1,3 Phase,131-4-A
131-4-B,Primary,F1,3 Phase,131-4-B
131-4-B-A,Primary,F1,3 Phase,131-4-B-A
131-4-B-B,Primary,F1,3 Phase,131-4-B-B
131-4-B-C,Primary,F1,3 Phase,131-4-B-C
131-4-B-D,Primary,F1,3 Phase,131-4-B-D
131-a,Primary,F7,Single Phase,131-a
131-b,Primary,F7,Single Phase,131-b
131-c,Primary,F7,Single Phase,131-c
131-d,Primary,F7,Single Phase,131-d
131-e,Primary,F7,Single Phase,131-e
131-f,Primary,F7,Single Phase,131-f
131-g,Primary,F7,Single Phase,131-g
131-g-1,Primary,F7,Single Phase,131-g-1
131-g-2,Primary,F7,Single Phase,131-g-2
131-g-3,Primary,F7,Single Phase,131-g-3
131-g-4,Primary,F7,Single Phase,131-g-4
131-g-5,Primary,F7,Single Phase,131-g-5
131-g-6,Primary,F7,Single Phase,131-g-6
131-g-7,Primary,F7,Single Phase,131-g-7
131-g-8,Primary,F7,Single Phase,131-g-8
133,Primary,F1,3 Phase,133
133-1,Primary,F1,3 Phase,133-1
133-1!,Secondary,F1,3 Phase,133-1
133-10,Primary,F1,3 Phase,133-10
133-12-,Secondary,F1,Single Phase,133-12-H-2
133-12-C,Primary,F1,Single Phase,133-12-C
133-12-D,Primary,F1,Single Phase,133-12-D
133-12-D-1,Primary,F1,Single Phase,133-12-D-1
133-12-E,Primary,F1,Single Phase,133-12-E
133-12-F,Primary,F1,Single Phase,133-12-F
133-12-F-1,Primary,F1,Single Phase,133-12-F-1
133-12-F-2,Primary,F1,Single Phase,133-12-F-2
133-12-F-3,Primary,F1,Single Phase,133-12-F-3
133-12-F1,Primary,F1,Single Phase,133-12-F-1
133-12-G,Primary,F1,Single Phase,133-12-G
133-12-H,Primary,F1,Single Phase,133-12-H
133-12-H-2,Primary,F1,Single Phase,133-12-H-2
133-12-H-3,Primary,F1,Single Phase,133-12-H-3
133-12-H-4,Primary,F1,Single Phase,133-12-H-4
133-12-H-5,Primary,F1,Single Phase,133-12-H-5
133-12-H-5-A,Primary,F1,Single Phase,133-12-H-5-A
133-12-I,Primary,F1,Single Phase,133-12-I
133-12-J,Primary,F1,Single Phase,133-12-J
133-12-a,Primary,F1,Single Phase,133-12-a
133-12-b,Secondary,F1,Single Phase,133-12-a
133-12-b-1,Primary,F1,Single Phase,133-12-b-1
133-12-b-2,Primary,F1,Single Phase,133-12-b-2
133-12-b-2-a,Primary,F1,Single Phase,133-12-b-2-a
133-12-b-3,Primary,F1,Single Phase,133-12-b-3
133-12-b-4,Primary,F1,Single Phase,133-12-b-4
133-12-b-5,Primary,F1,Single Phase,133-12-b-5
133-12-b-5-A,Primary,F1,Single Phase,133-12-b-5-A
133-12-b-5-a,Primary,F1,Single Phase,133-12-b-5-a
133-12-b-6,Primary,F1,Single Phase,133-12-b-6
133-2,Primary,F1,3 Phase,133-2
133-3,Primary,F1,3 Phase,133-3
133-4,Primary,F1,3 Phase,133-4
133-4-a,Primary,F1,Single Phase,133-4-a
133-4-b,Primary,F1,Single Phase,133-4-b
133-4-b-1,Primary,F1,3 Phase,133-4-b-1
133-4-b-2,Primary,F1,3 Phase,133-4-b-2
133-4-b-3,Primary,F1,3 Phase,133-4-b-3
133-4-b-3-A,Primary,F1,3 Phase,133-4-b-3-A
133-4-b-3-B,Primary,F1,3 Phase,133-4-b-3-B
133-4-b-3-C,Primary,F1,3 Phase,133-4-b-3-C
133-4-b-3-Cc,Secondary,F1,3 Phase,133-4-b-3-C
133-4-b-3-a,Primary,F1,3 Phase,133-4-b-3-a
133-4-b-3-b,Primary,F1,3 Phase,133-4-b-3-b
133-4-b-3-c,Primary,F1,3 Phase,133-4-b-3-c
133-5,Primary,F1,3 Phase,133-5
133-6,Primary,F1,3 Phase,133-6
133-6-a,Primary,F1,3 Phase,133-6-a
133-6-b,Primary,F1,3 Phase,133-6-b
133-7,Primary,F1,3 Phase,133-7
133-7-A,Primary,F1,3 Phase,133-7-A
133-8,Primary,F1,3 Phase,133-8
133-9,Primary,F1,3 Phase,133-9
1335-20-d,Transformer,F7,3 Phase,135-20-d
135-,Secondary,F7,3 Phase,135-3
135-1,Primary,F7,3 Phase,135-1
135-10,Primary,F7,3 Phase,135-10
135-10--a,Primary,F7,Single Phase,135-10-a
135-10--b,Primary,F7,Single Phase,135-10-b
135-10--b-1,Primary,F7,Single Phase,135-10-b-1
135-10--b-2,Primary,F7,Single Phase,135-10-b-2
