Count,Primary Distribution Line  Segment ID,From_Bus_ID,To_Bus_ID,Phasing,Configuration,System Grounding Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) ,Strands (C) ,Neutral Wire Type,Neutral Wire Size,Unit (NW),Strands (NW),Spacing D12 (meters),Spacing D23 (meters),Spacing D13 (meters),Spacing D1n (meters),Spacing D2n (meters),Spacing D3n (meters),Spacing DC1-C2       (meters),Height H1   (meters),Height H2   (meters),Height H3   (meters),Height Hn   (meters),Earth Resistivity (Ohm-meter)
1,DXTUNGF2AC001,P00000000,P00000001,ABCN,Triangular,Multi-grounded,80,ACSR,4/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
2,DXTUNGF2AC007,P00000001,P00000001-7,ABCN,Triangular,Multi-grounded,610,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
3,DXTUNGF2AC07A,P00000001-7,P00000001-7A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
4,DXTUNGF2AC009,P00000001-7,P00000001-9,ABCN,Triangular,Multi-grounded,96,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
5,DXTUNGF2AC017,P00000001-9,P00000001-17,ABCN,Triangular,Multi-grounded,736,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
6,DXTUNGF2AC019,P00000001-17,P00000001-19,ABCN,Triangular,Multi-grounded,166,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
7,DXTUNGF2AA000019-10,P00000001-19,P00000001-19-10,CN,Vertical,Multi-grounded,573,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
8,DXTUNGF2AA000019-38,P00000001-19-10,P00000001-19-38,CN,Vertical,Multi-grounded,1929,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
9,DXTUNGF2AC024,P00000001-19,P00000001-24,ABCN,Triangular,Multi-grounded,393,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
10,DXTUNGAF1C009,P00000001,P0000000009,ABCN,Triangular,Multi-grounded,516,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
11,DXTUNGAF1C013,P0000000009,P0000000013,ABCN,Triangular,Multi-grounded,298,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
12,DXTUNGAF1C015,P0000000013,P0000000015,ABCN,Triangular,Multi-grounded,183,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
13,DXTUNGAF1C016,P0000000015,P0000000016,ABCN,Triangular,Multi-grounded,83,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
14,DXTUNGAF1A0016-13,P0000000016,P0000000016-13,BN,Vertical,Multi-grounded,888,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
15,DXTUNGAF1C025,P0000000016,P0000000025,ABCN,Triangular,Multi-grounded,725,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
16,DXTUNGAF1C034,P0000000025,P0000000034,ABCN,Triangular,Multi-grounded,733,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
17,DXTUNGAF1C034A,P0000000034,P000000034A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
18,DXTUNGAF1C034A,P0000000034,P0000000034-7,BN,Vertical,Multi-grounded,611,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
19,DXTUNGAF1A0034-7A,P0000000034-7,P0000000034-7A,BN,Vertical,Multi-grounded,38,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
