From_Bus,To_Bus,Connection_Type,Feeder,Circuit
100,100-1,Primary_to_Primary,F6,3 Phase
100-1,100-2,Primary_to_Primary,F6,3 Phase
100-2,100-3,Primary_to_Primary,F6,3 Phase
100-3,101,Primary_to_Primary,F6,3 Phase
101,102,Primary_to_Primary,F6,3 Phase
102,45,Primary_to_Primary,F6,3 Phase
45,46,Primary_to_Primary,F6,3 Phase
46,47,Primary_to_Primary,F6,3 Phase
47,48,Primary_to_Primary,F6,3 Phase
48,48-a,Primary_to_Primary,F6,3 Phase
48-a,49,Primary_to_Primary,F6,3 Phase
49,50,Primary_to_Primary,F6,3 Phase
50,50-a,Primary_to_Primary,F6,3 Phase
50-a,52,Primary_to_Primary,F6,3 Phase
52,53,Primary_to_Primary,F6,3 Phase
53,54,Primary_to_Primary,F6,3 Phase
54,55,Primary_to_Primary,F6,3 Phase
55,56,Primary_to_Primary,F6,3 Phase
56,57,Primary_to_Primary,F6,3 Phase
57,58,Primary_to_Primary,F6,3 Phase
58,59,Primary_to_Primary,F6,3 Phase
59,60,Primary_to_Primary,F6,3 Phase
60,61,Primary_to_Primary,F6,3 Phase
61,62,Primary_to_Primary,F6,3 Phase
62,63,Primary_to_Primary,F6,3 Phase
63,64,Primary_to_Primary,F6,3 Phase
64,65,Primary_to_Primary,F6,3 Phase
65,66,Primary_to_Primary,F6,3 Phase
66,67,Primary_to_Primary,F6,3 Phase
67,68,Primary_to_Primary,F6,3 Phase
68,69,Primary_to_Primary,F6,3 Phase
69,70,Primary_to_Primary,F6,3 Phase
70,71,Primary_to_Primary,F6,3 Phase
71,72,Primary_to_Primary,F6,3 Phase
72,73,Primary_to_Primary,F6,3 Phase
73,74,Primary_to_Primary,F6,3 Phase
74,74-a,Primary_to_Primary,F6,3 Phase
74-a,76,Primary_to_Primary,F6,3 Phase
76,75,Primary_to_Primary,F6,3 Phase
75,77,Primary_to_Primary,F6,3 Phase
77,77-A,Primary_to_Primary,F6,3 Phase
77-A,77-A-B,Primary_to_Primary,F6,3 Phase
77-A-B,77-A-b,Primary_to_Primary,F6,3 Phase
77-A-b,77-A-,Primary_to_Primary,F6,3 Phase
77-A-,77-A-c,Primary_to_Primary,F6,3 Phase
77-A-c,77-A-c-a,Primary_to_Primary,F6,3 Phase
77-A-c-a,77-A-c-b,Primary_to_Primary,F6,3 Phase
77-A-c-b,78,Primary_to_Primary,F6,3 Phase
78,79,Primary_to_Primary,F6,3 Phase
79,80,Primary_to_Primary,F6,3 Phase
80,81,Primary_to_Primary,F6,3 Phase
81,81-a,Primary_to_Primary,F6,3 Phase
81-a,99-9A,Primary_to_Primary,F6,3 Phase
46-a-b,46-a-b-A,Primary_to_Primary,F6,Single Phase
46-a-b-A,46-a-b-B,Primary_to_Primary,F6,Single Phase
46-a-b-B,46-a-b-B-a,Primary_to_Primary,F6,Single Phase
46-a-b-B-a,46-a-b-B-a-A,Primary_to_Primary,F6,Single Phase
46-a-b-B-a-A,46-a-c,Primary_to_Primary,F6,Single Phase
46-a-c,47-a,Primary_to_Primary,F6,Single Phase
47-a,47-a-d,Primary_to_Primary,F6,Single Phase
47-a-d,47-a-e,Primary_to_Primary,F6,Single Phase
47-a-e,47-a-e6,Primary_to_Primary,F6,Single Phase
47-a-e6,47-a-e-A,Primary_to_Primary,F6,Single Phase
47-a-e-A,47-a-e-B,Primary_to_Primary,F6,Single Phase
47-a-e-B,47-a-e-C,Primary_to_Primary,F6,Single Phase
47-a-e-C,47-a-e-D,Primary_to_Primary,F6,Single Phase
47-a-e-D,47-a-e-E,Primary_to_Primary,F6,Single Phase
47-a-e-E,47-a-e-F,Primary_to_Primary,F6,Single Phase
47-a-e-F,47-a-e-G,Primary_to_Primary,F6,Single Phase
47-a-e-G,47-a-e-H,Primary_to_Primary,F6,Single Phase
47-a-e-H,47-a-e-I,Primary_to_Primary,F6,Single Phase
47-a-e-I,47-a-e-J,Primary_to_Primary,F6,Single Phase
47-a-e-J,47-a-e-K,Primary_to_Primary,F6,Single Phase
47-a-e-K,47-a-e-L,Primary_to_Primary,F6,Single Phase
47-a-e-L,47-a-e-L-A,Primary_to_Primary,F6,Single Phase
47-a-e-L-A,47-a-e-M,Primary_to_Primary,F6,Single Phase
47-a-e-M,47-a-e-N,Primary_to_Primary,F6,Single Phase
47-a-e-N,47-a-e-O,Primary_to_Primary,F6,Single Phase
47-a-e-O,47-a-e-P,Primary_to_Primary,F6,Single Phase
47-a-e-P,47-a-e-Q,Primary_to_Primary,F6,Single Phase
47-a-e-Q,47-a-e-R,Primary_to_Primary,F6,Single Phase
47-a-e-R,47-a-e-S,Primary_to_Primary,F6,Single Phase
47-a-e-S,47-a-e-S-A,Primary_to_Primary,F6,Single Phase
47-a-e-S-A,47-a-e-S-B,Primary_to_Primary,F6,Single Phase
47-a-e-S-B,47-a-e-S-C,Primary_to_Primary,F6,Single Phase
47-a-e-S-C,47-a-e-S-D,Primary_to_Primary,F6,Single Phase
47-a-e-S-D,47-a-e-S-E,Primary_to_Primary,F6,Single Phase
47-a-e-S-E,47-a-f,Primary_to_Primary,F6,Single Phase
47-a-f,47-a-f-a,Primary_to_Primary,F6,Single Phase
47-a-f-a,47-a-f-b,Primary_to_Primary,F6,Single Phase
47-a-f-b,47-a-f-b-A,Primary_to_Primary,F6,Single Phase
47-a-f-b-A,47-a-g,Primary_to_Primary,F6,Single Phase
47-a-g,47-a-h,Primary_to_Primary,F6,Single Phase
47-a-h,64-h,Primary_to_Primary,F6,Single Phase
64-h,64-a,Primary_to_Primary,F6,Single Phase
64-a,64-b,Primary_to_Primary,F6,Single Phase
64-b,64-c,Primary_to_Primary,F6,Single Phase
64-c,64-d,Primary_to_Primary,F6,Single Phase
64-d,64-e,Primary_to_Primary,F6,Single Phase
64-e,64-f,Primary_to_Primary,F6,Single Phase
64-f,64-g,Primary_to_Primary,F6,Single Phase
64-g,64-i,Primary_to_Primary,F6,Single Phase
64-i,64-j,Primary_to_Primary,F6,Single Phase
64-j,64-k,Primary_to_Primary,F6,Single Phase
64-k,64-l,Primary_to_Primary,F6,Single Phase
64-l,64-m,Primary_to_Primary,F6,Single Phase
64-m,64-n,Primary_to_Primary,F6,Single Phase
64-n,64-n-a,Primary_to_Primary,F6,Single Phase
64-n-a,64-n-b,Primary_to_Primary,F6,Single Phase
64-n-b,64-n-b-a,Primary_to_Primary,F6,Single Phase
64-n-b-a,64-n-b-b,Primary_to_Primary,F6,Single Phase
64-n-b-b,64-n-b-c,Primary_to_Primary,F6,Single Phase
64-n-b-c,64-n-b-e,Primary_to_Primary,F6,Single Phase
64-n-b-e,64-n-b-f,Primary_to_Primary,F6,Single Phase
64-n-b-f,64-n-b-g,Primary_to_Primary,F6,Single Phase
64-n-b-g,64-n-b-h,Primary_to_Primary,F6,Single Phase
64-n-b-h,64-n-b-i,Primary_to_Primary,F6,Single Phase
64-n-b-i,64-n-b-j,Primary_to_Primary,F6,Single Phase
64-n-b-j,64-n-b-k,Primary_to_Primary,F6,Single Phase
64-n-b-k,64-n-b-l,Primary_to_Primary,F6,Single Phase
64-n-b-l,99-10A,Primary_to_Primary,F6,Single Phase
99-10A,99-10A-a,Primary_to_Primary,F6,Single Phase
99-10A-a,99-11,Primary_to_Primary,F6,Single Phase
99-11,99-12,Primary_to_Primary,F6,Single Phase
99-12,99-12-A,Primary_to_Primary,F6,Single Phase
99-12-A,99-13,Primary_to_Primary,F6,Single Phase
99-13,99-13a,Primary_to_Primary,F6,Single Phase
99-13a,99-14a,Primary_to_Primary,F6,Single Phase
99-14a,99-15a,Primary_to_Primary,F6,Single Phase
99-15a,99-17,Primary_to_Primary,F6,Single Phase
99-17,99-18,Primary_to_Primary,F6,Single Phase
99-18,99-18-A,Primary_to_Primary,F6,Single Phase
99-18-A,99-18-a3,Primary_to_Primary,F6,Single Phase
99-18-a3,99-a,Primary_to_Primary,F6,Single Phase
99-a,99-8-b,Primary_to_Primary,F6,Single Phase
99-8-b,99-8-c,Primary_to_Primary,F6,Single Phase
131-4-A,131-4-B,Primary_to_Primary,F1,3 Phase
131-4-B,131-4-B-A,Primary_to_Primary,F1,3 Phase
131-4-B-A,131-4-B-B,Primary_to_Primary,F1,3 Phase
131-4-B-B,131-4-B-C,Primary_to_Primary,F1,3 Phase
131-4-B-C,131-4-B-D,Primary_to_Primary,F1,3 Phase
131-4-B-D,133,Primary_to_Primary,F1,3 Phase
133,133-1,Primary_to_Primary,F1,3 Phase
133-1,133-10,Primary_to_Primary,F1,3 Phase
133-10,133-2,Primary_to_Primary,F1,3 Phase
133-2,133-3,Primary_to_Primary,F1,3 Phase
133-3,133-4,Primary_to_Primary,F1,3 Phase
133-4,133-4-a,Primary_to_Primary,F1,3 Phase
133-4-a,133-4-b,Primary_to_Primary,F1,3 Phase
133-4-b,133-4-b-1,Primary_to_Primary,F1,3 Phase
133-4-b-1,133-4-b-2,Primary_to_Primary,F1,3 Phase
133-4-b-2,133-4-b-3,Primary_to_Primary,F1,3 Phase
133-4-b-3,133-4-b-3-A,Primary_to_Primary,F1,3 Phase
133-4-b-3-A,133-4-b-3-B,Primary_to_Primary,F1,3 Phase
133-4-b-3-B,133-4-b-3-C,Primary_to_Primary,F1,3 Phase
133-4-b-3-C,133-4-b-3-a,Primary_to_Primary,F1,3 Phase
133-4-b-3-a,133-4-b-3-b,Primary_to_Primary,F1,3 Phase
133-4-b-3-b,133-4-b-3-c,Primary_to_Primary,F1,3 Phase
133-4-b-3-c,133-5,Primary_to_Primary,F1,3 Phase
133-5,133-6,Primary_to_Primary,F1,3 Phase
133-6,133-6-a,Primary_to_Primary,F1,3 Phase
133-6-a,133-6-b,Primary_to_Primary,F1,3 Phase
133-6-b,133-7,Primary_to_Primary,F1,3 Phase
133-7,133-7-A,Primary_to_Primary,F1,3 Phase
133-7-A,133-8,Primary_to_Primary,F1,3 Phase
133-8,133-9,Primary_to_Primary,F1,3 Phase
133-9,146,Primary_to_Primary,F1,3 Phase
146,146-A,Primary_to_Primary,F1,3 Phase
146-A,146-B,Primary_to_Primary,F1,3 Phase
146-B,146-C,Primary_to_Primary,F1,3 Phase
146-C,146-a,Primary_to_Primary,F1,3 Phase
146-a,146-b,Primary_to_Primary,F1,3 Phase
146-b,146-c,Primary_to_Primary,F1,3 Phase
146-c,147,Primary_to_Primary,F1,3 Phase
133-12-C,133-12-D,Primary_to_Primary,F1,Single Phase
133-12-D,133-12-D-1,Primary_to_Primary,F1,Single Phase
133-12-D-1,133-12-E,Primary_to_Primary,F1,Single Phase
133-12-E,133-12-F,Primary_to_Primary,F1,Single Phase
133-12-F,133-12-F1,Primary_to_Primary,F1,Single Phase
133-12-F1,133-12-F-1,Primary_to_Primary,F1,Single Phase
133-12-F-1,133-12-F-2,Primary_to_Primary,F1,Single Phase
133-12-F-2,133-12-F-3,Primary_to_Primary,F1,Single Phase
133-12-F-3,133-12-G,Primary_to_Primary,F1,Single Phase
133-12-G,133-12-H,Primary_to_Primary,F1,Single Phase
133-12-H,133-12-H-2,Primary_to_Primary,F1,Single Phase
133-12-H-2,133-12-H-3,Primary_to_Primary,F1,Single Phase
133-12-H-3,133-12-H-4,Primary_to_Primary,F1,Single Phase
133-12-H-4,133-12-H-5,Primary_to_Primary,F1,Single Phase
133-12-H-5,133-12-H-5-A,Primary_to_Primary,F1,Single Phase
133-12-H-5-A,133-12-I,Primary_to_Primary,F1,Single Phase
133-12-I,133-12-J,Primary_to_Primary,F1,Single Phase
133-12-J,133-12-a,Primary_to_Primary,F1,Single Phase
133-12-a,133-12-b,Primary_to_Primary,F1,Single Phase
133-12-b,133-12-b-1,Primary_to_Primary,F1,Single Phase
133-12-b-1,133-12-b-2,Primary_to_Primary,F1,Single Phase
133-12-b-2,133-12-b-2-a,Primary_to_Primary,F1,Single Phase
133-12-b-2-a,133-12-b-3,Primary_to_Primary,F1,Single Phase
133-12-b-3,133-12-b-4,Primary_to_Primary,F1,Single Phase
133-12-b-4,133-12-b-5,Primary_to_Primary,F1,Single Phase
133-12-b-5,133-12-b-5-A,Primary_to_Primary,F1,Single Phase
133-12-b-5-A,133-12-b-5-a,Primary_to_Primary,F1,Single Phase
133-12-b-5-a,133-12-b-6,Primary_to_Primary,F1,Single Phase
133-12-b-6,133-4-a,Primary_to_Primary,F1,Single Phase
133-4-b,147-1,Primary_to_Primary,F1,Single Phase
147-1,147-1-A,Primary_to_Primary,F1,Single Phase
147-1-A,147-1-A-a,Primary_to_Primary,F1,Single Phase
147-1-A-a,147-1-B,Primary_to_Primary,F1,Single Phase
147-1-B,147-2,Primary_to_Primary,F1,Single Phase
147-2,147-3,Primary_to_Primary,F1,Single Phase
147-3,147-3-A,Primary_to_Primary,F1,Single Phase
147-3-A,147-4,Primary_to_Primary,F1,Single Phase
147-4,147-4-1,Primary_to_Primary,F1,Single Phase
147-4-1,147-4-2,Primary_to_Primary,F1,Single Phase
147-4-2,147-4-3,Primary_to_Primary,F1,Single Phase
147-4-3,147-4-A,Primary_to_Primary,F1,Single Phase
147-4-A,147-4-B,Primary_to_Primary,F1,Single Phase
147-4-B,147-4-a,Primary_to_Primary,F1,Single Phase
99-2,99-2-a,Primary_to_Primary,F1,V Phase
99-2-a,99-3,Primary_to_Primary,F1,V Phase
99-4,99-4-A,Primary_to_Primary,F6,V Phase
99-4-A,99-4-a,Primary_to_Primary,F6,V Phase
99-4-a,99-5,Primary_to_Primary,F6,V Phase
99-5,99-6,Primary_to_Primary,F6,V Phase
99-6,99-6-A,Primary_to_Primary,F6,V Phase
99-6-A,99-6-B,Primary_to_Primary,F6,V Phase
99-6-B,99-6-B-a,Primary_to_Primary,F6,V Phase
99-6-B-a,99-6-a,Primary_to_Primary,F6,V Phase
99-6-a,99-7,Primary_to_Primary,F6,V Phase
99-7,99-8,Primary_to_Primary,F6,V Phase
100,101,Primary_to_Primary,F7,3 Phase
102,103,Primary_to_Primary,F7,3 Phase
103,104,Primary_to_Primary,F7,3 Phase
104,105,Primary_to_Primary,F7,3 Phase
105,106,Primary_to_Primary,F7,3 Phase
106,107,Primary_to_Primary,F7,3 Phase
107,108,Primary_to_Primary,F7,3 Phase
108,109,Primary_to_Primary,F7,3 Phase
109,110,Primary_to_Primary,F7,3 Phase
110,111,Primary_to_Primary,F7,3 Phase
111,112,Primary_to_Primary,F7,3 Phase
112,113,Primary_to_Primary,F7,3 Phase
113,114,Primary_to_Primary,F7,3 Phase
114,115,Primary_to_Primary,F7,3 Phase
115,116,Primary_to_Primary,F7,3 Phase
116,117,Primary_to_Primary,F7,3 Phase
117,118,Primary_to_Primary,F7,3 Phase
118,119,Primary_to_Primary,F7,3 Phase
119,120,Primary_to_Primary,F7,3 Phase
120,121,Primary_to_Primary,F7,3 Phase
121,122,Primary_to_Primary,F7,3 Phase
122,123,Primary_to_Primary,F7,3 Phase
123,124,Primary_to_Primary,F7,3 Phase
124,125,Primary_to_Primary,F7,3 Phase
125,126,Primary_to_Primary,F7,3 Phase
126,127,Primary_to_Primary,F7,3 Phase
127,128,Primary_to_Primary,F7,3 Phase
128,129,Primary_to_Primary,F7,3 Phase
129,130,Primary_to_Primary,F7,3 Phase
130,131,Primary_to_Primary,F7,3 Phase
131,135-1,Primary_to_Primary,F7,3 Phase
135-1,135-10,Primary_to_Primary,F7,3 Phase
135-10,135-11,Primary_to_Primary,F7,3 Phase
135-11,135-12,Primary_to_Primary,F7,3 Phase
135-12,135-13,Primary_to_Primary,F7,3 Phase
135-13,135-14,Primary_to_Primary,F7,3 Phase
135-14,135-15,Primary_to_Primary,F7,3 Phase
135-15,135-16,Primary_to_Primary,F7,3 Phase
135-16,135-17,Primary_to_Primary,F7,3 Phase
135-17,135-18,Primary_to_Primary,F7,3 Phase
135-18,135-19,Primary_to_Primary,F7,3 Phase
135-19,135-2,Primary_to_Primary,F7,3 Phase
135-2,135-20,Primary_to_Primary,F7,3 Phase
135-20,135-20--a,Primary_to_Primary,F7,3 Phase
135-20--a,135-20--b,Primary_to_Primary,F7,3 Phase
135-20--b,135-20--c,Primary_to_Primary,F7,3 Phase
135-20--c,135-20--d,Primary_to_Primary,F7,3 Phase
135-20--d,135-21,Primary_to_Primary,F7,3 Phase
135-21,135-22,Primary_to_Primary,F7,3 Phase
135-22,135-3,Primary_to_Primary,F7,3 Phase
135-3,135-4,Primary_to_Primary,F7,3 Phase
135-4,135-5,Primary_to_Primary,F7,3 Phase
135-5,135-6,Primary_to_Primary,F7,3 Phase
135-6,135-7,Primary_to_Primary,F7,3 Phase
135-7,135-8,Primary_to_Primary,F7,3 Phase
135-8,135-9,Primary_to_Primary,F7,3 Phase
135-9,136,Primary_to_Primary,F7,3 Phase
136,137,Primary_to_Primary,F7,3 Phase
137,138,Primary_to_Primary,F7,3 Phase
138,139,Primary_to_Primary,F7,3 Phase
139,140,Primary_to_Primary,F7,3 Phase
140,141,Primary_to_Primary,F7,3 Phase
141,141-1,Primary_to_Primary,F7,3 Phase
141-1,142,Primary_to_Primary,F7,3 Phase
142,143,Primary_to_Primary,F7,3 Phase
143,144,Primary_to_Primary,F7,3 Phase
144,145,Primary_to_Primary,F7,3 Phase
145,146,Primary_to_Primary,F7,3 Phase
