Count,Shunt Capacitor ID,"Bus Connected 
(Bus ID)",Phase Type,Phasing,Voltage Rating (kV),KVAR Rating Phase A,KVAR Rating Phase B,KVAR Rating Phase C,Power Loss (Watts)
1,F0010,P00000001,4,ABC,7.619999886,100,100,100,150
2,F0002,P00000001-7,3,CA,23,100,700,550,7681.00000
3,F0003,P00000001-7A,2,BC,7.62,150,500,650,11346.00000
4,F0004,P00000001-9,4,ABC,12.47,400,400,400,7822.00000
5,F0005,P00000001-17,4,ABC,34.5,850,850,850,15418.00000
6,F0006,P00000001-19,4,A,13.8,650,450,650,17416.00000
7,F0007,P00000001-19-10,4,B,7.62,250,300,100,4706.00000
8,F0008,P00000001-19-38,4,CA,34.5,200,650,350,11693.00000
9,F0009,P00000001-24,1,A,23,350,200,350,3742.00000
10,F0010,P0000000009,4,C,34.5,250,450,350,7581.00000
11,F0011,P0000000013,4,AB,13.8,850,300,250,8538.00000
12,F0012,P0000000015,1,BC,34.5,550,600,500,14564.00000
13,F0013,P0000000016,4,ABC,13.8,500,500,500,13878.00000
14,F0014,P0000000016-13,4,AB,34.5,600,450,200,3959.00000
15,F0015,P0000000025,4,BC,12.47,800,550,750,15927.00000
16,F0016,P0000000034,4,A,34.5,900,450,500,15175.00000
17,F0017,P000000034A,4,ABC,7.62,800,800,800,8486.00000
18,F0018,P0000000034-7,4,AB,12.47,550,550,900,11387.00000
19,F0019,P0000000034-7A,4,CA,23,550,650,350,13484.00000
20,F0020,P0000000034-9,2,A,12.47,350,300,550,8190.00000
21,F0021,P0000000034-9a,4,A,34.5,300,100,800,5345.00000
22,F0022,P0000000034-18,4,ABC,34.5,600,600,600,10731.00000
23,F0023,P0000000034-29,4,BC,13.8,100,400,800,5012.00000
24,F0024,P0000000038,4,AB,4.16,300,350,450,6549.00000
25,F0025,P0000000044,4,AB,34.5,750,550,500,9873.00000
26,F0026,P0000000044-29,4,CA,7.62,150,300,50,2884.00000
27,F0027,P0000000044-64,4,C,4.16,100,900,300,8794.00000
28,F0028,P0000000045,3,BC,34.5,750,600,300,6624.00000
29,F0029,P0000000046,3,B,7.62,900,400,550,9354.00000
30,F0030,P0000000046-22,4,AB,23,500,350,200,7021.00000
31,F0031,P0000000049,4,AB,23,550,400,650,15386.00000
32,F0032,P0000000049A,4,AB,13.8,350,600,850,12165.00000
33,F0033,P0000000049-3,3,CA,4.16,500,150,150,6267.00000
34,F0034,P0000000054,4,B,13.8,300,150,850,5444.00000
35,F0035,P000000054A,4,A,34.5,400,500,150,3519.00000
36,F0036,P0000000054-20,4,ABC,7.62,100,100,100,2218.00000
37,F0037,P0000000065,4,C,4.16,700,700,600,9759.00000
38,F0038,P0000000072,4,CA,13.8,250,200,550,7185.00000
39,F0039,P0000000072-7,4,A,12.47,600,200,900,15366.00000
40,F0040,P0000000073,4,A,7.62,600,800,850,20745.00000
41,F0041,P0000000076,4,ABC,34.5,650,650,650,13892.00000
42,F0042,P0000000090,2,C,34.5,500,450,650,6746.00000
43,F0043,P0000000091,4,C,7.62,300,700,600,7045.00000
44,F0044,P000000091A,1,B,13.8,100,500,50,5092.00000
45,F0045,P000000091B,4,AB,34.5,650,100,250,3216.00000
46,F0046,P0000000092,4,C,13.8,650,350,200,3840.00000
47,F0047,P000000092A,4,ABC,34.5,650,650,650,11849.00000
48,F0048,P000000092B,4,C,4.16,600,500,450,11137.00000
49,F0049,P0000000092-2,4,A,23,600,550,600,11274.00000
