Count,Secondary Distribution Line ID,From Bus ID,To  Bus ID,Phasing,Installation Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) 
1,UBA0001,DT00000001-7,S0001-0007-0001,AN,1,6,ACSR,2,AWG
2,UBA0002,DT00000001-7A,S0001-007A-0001,CN,1,6,ACSR,2,AWG
3,UBA0003,DT00000001-9,S0001-0009-0001,CN,1,6,ACSR,2,AWG
4,UBA0004,DT00000001-17,S0001-0017-0002,CN,1,1,ACSR,2,AWG
5,OSA0005,S0001-0017-0002,S0001-0017-002a,CN,2,65,ACSR,2,AWG
6,OSA0006,S0001-0017-0002,S0001-0017-002A,CN,2,60,ACSR,2,AWG
7,UBA0007,S0001-0017-0002,S0001-0017-0003,CN,1,109,ACSR,2,AWG
8,UBA0008,S0001-0017-0002,S0001-0017-0001,CN,1,102,ACSR,2,AWG
9,OSA0009,S0001-0017-0003,S0001-0017-003a,CN,2,50,ACSR,2,AWG
10,UBA0010,S0001-0017-0003,S0001-0017-0004,CN,1,108,ACSR,2,AWG
11,OSA0011,S0001-0017-0004,S0001-0017-004a,CN,2,76,ACSR,2,AWG
12,OSA0012,S0001-0017-0004,S0001-0017-004A,CN,2,55,ACSR,2,AWG
13,UBA0013,S0001-0017-0004,S0001-0017-0005,CN,1,70,ACSR,2,AWG
14,OSA0014,S0001-0017-0005,S0001-0017-005A,CN,2,65,ACSR,2,AWG
15,UBA0015,S0001-0017-0005,S0001-0017-0006,CN,1,96,ACSR,2,AWG
16,OSA0016,S0001-0017-0006,S0001-0017-006A,CN,2,80,ACSR,2,AWG
17,OSA0017,S0001-0017-002a,S0001-0017-002b,CN,2,69,ACSR,2,AWG
18,OSA0018,S0001-0017-002A,S0001-0017-002B,CN,2,79,ACSR,2,AWG
19,OSA0019,S0001-0017-002b,S0001-0017-002c,CN,2,70,ACSR,2,AWG
20,OSA0020,S0001-0017-002B,S0001-0017-002C,CN,2,62,ACSR,2,AWG
21,OSA0021,S0001-0017-002c,S0001-0017-002d,CN,2,74,ACSR,2,AWG
22,OSA0022,S0001-0017-002C,S0001-0017-002D,CN,2,106,ACSR,2,AWG
23,UBA0023,S0001-0017-002d,S0001-0017-02d1,CN,1,58,ACSR,2,AWG
24,OSA0024,S0001-0017-002d,S0001-0017-002e,CN,2,61,ACSR,2,AWG
25,OSA0025,S0001-0017-002D,S0001-0017-002E,CN,2,76,ACSR,2,AWG
26,OSA0026,S0001-0017-002E,S0001-0017-002F,CN,2,55,ACSR,2,AWG
27,OSA0027,S0001-0017-002F,S0001-0017-002G,CN,2,70,ACSR,2,AWG
28,OSA0028,S0001-0017-002G,S0001-0017-002H,CN,2,65,ACSR,2,AWG
29,OSA0029,S0001-0017-003a,S0001-0017-003b,CN,2,96,ACSR,2,AWG
30,OSA0030,S0001-0017-003b,S0001-0017-003c,CN,2,80,ACSR,2,AWG
31,OSA0031,S0001-0017-003c,S0001-0017-003d,CN,2,69,ACSR,2,AWG
32,OSA0032,S0001-0017-003d,S0001-0017-003e,CN,2,65,ACSR,2,AWG
33,OSA0033,S0001-0017-003e,S0001-0017-003f,CN,2,96,ACSR,2,AWG
34,UBA0034,S0001-0017-004a,S0001-0017-004b,CN,1,147,ACSR,2,AWG
35,UBA0035,S0001-0017-004A,S0001-0017-004B,CN,1,69,ACSR,2,AWG
36,UBA0036,S0001-0017-004b,S0001-0017-004c,CN,1,71,ACSR,2,AWG
37,UBA0037,S0001-0017-004B,S0001-0017-004C,CN,1,65,ACSR,2,AWG
38,UBA0038,S0001-0017-004c,S0001-0017-004d,CN,1,57,ACSR,2,AWG
39,UBA0039,S0001-0017-004C,S0001-0017-004D,CN,1,71,ACSR,2,AWG
40,UBA0040,S0001-0017-004d,S0001-0017-004e,CN,1,48,ACSR,2,AWG
41,UBA0041,S0001-0017-004D,S0001-0017-004E,CN,1,80,ACSR,2,AWG
42,UBA0042,S0001-0017-004E,S0001-0017-004F,CN,1,58,ACSR,2,AWG
