Count,Secondary Customer Service Drop ID,"From 
Bus ID","To  
Customer ID",Phasing,Installation Type,Length-1         (meters),Length-2         (meters),Conductor Type,"Conductor
Size",Unit (C) 
1,KSA1010071788,S0034-0018-0015,1010071788,BN,1,0.5,0,CU,10,AWG
2,KSA2020010007,S00094C-0000001,2020010007,BN,1,5.0,0,CU,2,AWG
3,KSA2020010010,S000100-0000002,2020010010,AN,1,0.5,0,CU,10,AWG
4,KSA2020010020,S000100-0000003,2020010020,AN,1,0.5,0,CU,10,AWG
5,KSA2020010029,S000100-000002b,2020010029,AN,1,0.5,0,CU,10,AWG
6,KSA2020010030,S000100-0000002,2020010030,AN,1,0.5,0,CU,10,AWG
7,KSA2020010040,S000100-000003A,2020010040,AN,1,0.5,0,CU,10,AWG
8,KSA2020010045,S000100-000003A,2020010045,AN,1,0.5,0,CU,10,AWG
9,KSA2020010046,S000100-000003A,2020010046,AN,1,0.5,0,CU,10,AWG
10,KSA2020010050,S000100-000003A,2020010050,AN,1,0.5,0,CU,10,AWG
11,KSA2020010060,S000100-000003A,2020010060,AN,1,0.5,0,CU,10,AWG
12,KSA2020010066,S0108-004b-002A,2020010066,AN,1,0.5,0,CU,10,AWG
13,KSA2020010070,S000100-0000003,2020010070,AN,1,0.5,0,CU,10,AWG
14,KSA2020010073,S000100-0000003,2020010073,AN,1,0.5,0,CU,10,AWG
15,KSA2020010080,S000100-0000003,2020010080,AN,1,0.5,0,CU,10,AWG
16,KSA2020010086,S000100-0000003,2020010086,AN,1,0.5,0,CU,10,AWG
17,KSA2020010090,S000100-0000003,2020010090,AN,1,0.5,0,CU,10,AWG
18,KSA2020010100,S000100-000002c,2020010100,AN,1,0.5,0,CU,10,AWG
19,KSA2020010105,S000100-000003A,2020010105,AN,1,0.5,0,CU,10,AWG
20,KSA2020010115,S0108-004b-002A,2020010115,AN,1,0.5,0,CU,10,AWG
21,KSA2020010120,S000100-0000004,2020010120,AN,1,0.5,0,CU,10,AWG
22,KSA2020010125,S000100-0000003,2020010125,AN,1,0.5,0,CU,10,AWG
