Count,Shunt Inductor ID,"Bus Connected
(Bus ID)",Phase Type,Phasing,Voltage Rating (kV),Resistance Phase A (Ohms),Resistance Phase B (Ohms),Resistance Phase C (Ohms),"Reactance
Phase A (Ohms)","Reactance 
Phase B (Ohms)","Reactance 
Phase C (Ohms)"
1,L0001,P00000001,4,B,12.47,1.06400,2.32100,2.45500,7.38500,8.94300,7.91600
2,L0002,P00000001-7,4,A,13.8,2.76200,1.44000,0.09300,14.08300,3.74700,0.83000
3,L0003,P00000001-7A,4,B,12.47,1.97700,1.43800,2.56400,9.30300,6.00700,5.65800
4,L0004,P00000001-9,4,C,34.5,0.36600,0.66800,0.53700,5.49200,8.26300,0.88400
5,L0005,P00000001-17,2,C,13.8,0.34000,1.01100,1.85500,13.84600,13.62800,13.69600
6,L0006,P00000001-19,4,B,34.5,2.30000,2.88800,1.84100,3.57500,10.25900,3.78400
7,L0007,P00000001-19-10,4,C,7.62,1.78700,1.16900,2.02700,8.67300,14.96000,14.01200
8,L0008,P00000001-19-38,2,AB,13.8,1.31800,2.72300,2.60300,1.63200,4.18900,8.33100
9,L0009,P00000001-24,4,B,13.8,2.33100,0.94900,1.66400,11.60000,3.08000,2.17300
10,L0010,P0000000009,4,A,12.47,2.77900,0.78900,0.76100,8.83100,5.32800,11.70900
11,L0011,P0000000013,4,AB,23,2.80600,2.64300,0.89800,3.96700,4.93200,5.43900
12,L0012,P0000000015,4,ABC,23,0.20600,0.89000,0.72800,8.10600,3.85000,14.84600
13,L0013,P0000000016,3,C,4.16,1.53400,1.79200,2.49600,13.21700,6.36000,10.30000
14,L0014,P0000000016-13,4,ABC,23,2.33500,0.15800,2.74700,11.66100,5.72900,4.54500
15,L0015,P0000000025,4,ABC,23,0.39400,2.47200,2.18500,5.09100,3.17800,11.44800
16,L0016,P0000000034,4,C,13.8,2.19800,2.87400,1.10500,3.47000,7.43800,10.15500
17,L0017,P000000034A,4,B,34.5,2.15800,1.45600,2.28700,5.74500,2.90200,13.69400
18,L0018,P0000000034-7,4,AB,23,0.81500,2.50000,0.41000,6.92400,12.24700,6.77700
19,L0019,P0000000034-7A,4,AB,23,0.46300,0.49000,0.97900,9.91800,4.78200,12.09000
20,L0020,P0000000034-9,4,B,4.16,2.17000,0.45500,0.47800,12.72900,2.19600,0.75300
21,L0021,P0000000034-9a,4,A,34.5,2.28100,2.01300,2.01200,4.42900,5.85700,13.49000
22,L0022,P0000000034-18,4,B,7.62,2.83700,0.71400,1.21400,10.98100,12.18600,7.33000
23,L0023,P0000000034-29,4,ABC,23,0.13500,2.41500,1.71100,2.04300,12.82700,2.44500
24,L0024,P0000000038,4,BC,4.16,0.09300,0.29400,1.50400,10.09000,6.15700,12.59700
25,L0025,P0000000044,4,A,7.62,2.08000,1.31800,2.91300,12.10300,7.57400,12.39300
26,L0026,P0000000044-29,4,ABC,34.5,0.92200,2.86100,1.68900,6.27900,14.18200,3.54700
27,L0027,P0000000044-64,4,A,23,2.57500,2.70800,2.50500,2.68300,4.53100,9.02200
28,L0028,P0000000045,4,B,34.5,2.87600,1.37600,2.39800,12.71600,8.99200,10.19700
29,L0029,P0000000046,4,A,23,2.23100,2.75500,0.90800,13.51100,8.43500,6.35400
30,L0030,P0000000046-22,4,BC,4.16,2.15000,2.27800,1.38000,12.14400,10.18400,12.04700
31,L0031,P0000000049,4,ABC,23,1.19400,0.98200,0.65800,2.06300,5.44700,14.18100
32,L0032,P0000000049A,4,CA,13.8,0.14600,0.74600,1.93000,8.18700,6.15200,5.91500
33,L0033,P0000000049-3,4,C,7.62,2.76600,2.11300,1.75700,9.87900,4.45200,13.11000
34,L0034,P0000000054,3,BC,13.8,0.29600,1.21300,1.82200,3.26600,9.92600,2.79400
35,L0035,P000000054A,2,B,13.8,1.68000,0.19500,0.17400,10.02100,2.49300,13.70900
36,L0036,P0000000054-20,4,ABC,7.62,2.25400,1.18300,0.28300,4.55000,12.99200,1.27400
37,L0037,P0000000065,4,BC,4.16,1.16500,2.86600,1.97000,1.67900,4.26900,13.64700
38,L0038,P0000000072,4,ABC,13.8,1.57700,2.87000,0.54400,6.51100,4.99700,6.79800
39,L0039,P0000000072-7,4,A,13.8,1.29900,2.36500,1.83200,8.76900,7.05400,3.61800
40,L0040,P0000000073,4,AB,7.62,0.50700,1.06400,2.48700,12.76300,3.39600,6.56300
41,L0041,P0000000076,4,C,34.5,1.90400,2.75100,1.30400,7.04000,6.75100,12.19500
42,L0042,P0000000090,4,B,4.16,2.06000,0.61400,1.91800,7.55800,8.68800,13.94900
43,L0043,P0000000091,4,B,13.8,1.90200,1.03500,0.63800,10.48900,12.04600,4.38900
44,L0044,P000000091A,4,ABC,7.62,2.99400,0.98300,0.22500,5.97300,10.01400,11.55200
45,L0045,P000000091B,4,ABC,34.5,0.15200,1.64700,2.77600,9.06300,10.47900,13.93500
46,L0046,P0000000092,4,A,34.5,1.02100,0.43500,2.25500,5.52200,5.40000,8.73600
47,L0047,P000000092A,3,B,23,1.91100,2.53900,1.05000,3.76100,5.44800,1.37500
48,L0048,P000000092B,4,A,4.16,1.89600,0.19500,0.38000,4.65900,3.18300,14.77000
49,L0049,P0000000092-2,4,ABC,13.8,2.91100,0.81100,0.88500,5.11900,5.85100,1.95900
50,L0050,P0000000092-5,4,AB,4.16,0.94700,1.65500,2.26400,10.50900,14.03600,4.00200
51,L0051,P0000000092-7,4,C,23,2.20800,2.83100,1.16100,3.22900,5.23700,7.33500
52,L0052,P0000000092-8,4,AB,7.62,2.83600,1.96100,1.69500,7.68500,8.00400,8.55400
53,L0053,P0000000092-9,4,C,12.47,1.03300,1.53900,1.95400,7.82300,2.40100,14.05900
54,L0054,P0000000093,4,ABC,34.5,2.97500,2.87900,2.09900,11.91900,5.01400,2.83700
55,L0055,P0000000094,4,ABC,34.5,1.92500,1.66200,2.33300,4.17300,13.99800,8.48300
56,L0056,P000000094A,4,A,13.8,2.67000,2.12500,0.49700,10.97800,7.58300,2.80400
57,L0057,P000000094B,4,AB,23,0.74600,1.63500,2.84800,10.76100,9.19100,11.51100
58,L0058,P000000094C,4,BC,12.47,2.47600,1.68100,0.75000,12.08700,12.96000,1.27100
59,L0059,P0000000095,4,ABC,12.47,1.91500,1.81400,1.20200,3.07700,4.36300,6.39300
60,L0060,P0000000095-7,4,CA,4.16,1.93400,1.90300,2.72300,14.77500,5.51000,5.89800
61,L0061,P0000000099,4,B,7.62,1.81200,2.45800,2.03200,9.62800,14.00200,3.14600
62,L0062,P0000000100,3,ABC,4.16,2.61000,1.97300,0.37400,8.55800,4.92200,9.95000
63,L0063,P000000100A,4,B,12.47,0.17300,2.36000,2.27300,10.16000,7.89600,11.42300
64,L0064,P000000100B,4,CA,7.62,1.14600,2.35600,0.27400,3.26100,4.03100,13.38400
65,L0065,P0000000100-1,4,BC,23,2.76000,1.90000,1.32900,10.45700,7.19200,4.31800
66,L0066,P0000000100-2,4,A,7.62,2.70700,0.12600,0.09700,8.88500,8.20200,0.61100
67,L0067,P0000000100-6,4,C,7.62,2.54700,1.43900,0.59800,14.33700,2.70500,10.20600
68,L0068,P0000000100-6A,4,A,34.5,2.34200,1.39400,1.73100,9.01700,13.01800,7.02100
69,L0069,P0000000100-7,4,B,12.47,0.81200,0.90300,0.51500,7.41800,5.14700,11.11500
70,L0070,P0000000100-13,3,C,34.5,1.99400,0.30800,0.61700,3.86900,13.96900,9.91000
71,L0071,P0000000100-13m,4,CA,23,0.19300,0.52500,1.54200,10.78700,1.52800,8.73300
72,L0072,P0000000100-13ag,4,CA,13.8,0.14400,2.74000,1.65900,14.42700,4.52100,11.22100
73,L0073,P0000000100-13ag6,4,BC,34.5,0.54300,2.24400,2.24000,7.52200,8.71500,2.62800
74,L0074,P0000000100-13ar,4,ABC,12.47,1.35000,2.16900,1.87900,5.30900,4.47600,2.15700
75,L0075,P0000000100-13ax,4,ABC,7.62,2.34200,1.80100,0.53000,5.77500,13.55900,4.94700
76,L0076,P0000000100-13ax15,4,C,7.62,2.77400,2.29800,0.92700,6.10100,2.39000,14.97300
77,L0077,P0000000100-13bj,4,B,13.8,1.68000,2.07000,2.00500,8.95400,13.21300,5.84700
78,L0078,P0000000100-16,1,A,7.62,0.77200,0.71600,2.55600,3.60300,4.20000,14.07500
79,L0079,P0000000100-20,4,ABC,7.62,0.37000,1.51100,1.07600,3.28300,11.63100,3.01000
80,L0080,P0000000100-28,1,A,23,1.15000,2.75100,2.92000,10.23200,10.77900,14.88200
81,L0081,P0000000100-30,4,BC,4.16,1.95500,2.93400,1.60700,4.79400,13.73700,12.39300
82,L0082,P0000000100-30i,4,B,4.16,0.88500,0.85500,1.31400,4.22400,12.24700,10.49500
83,L0083,P0000000100-39,4,AB,34.5,1.67400,0.46300,0.10500,11.69400,10.83200,11.94900
84,L0084,P0000000100-39h,4,C,4.16,0.94800,2.16900,2.03400,2.32500,12.30200,12.47000
85,L0085,P0000000100-39X,4,ABC,34.5,1.29900,0.95900,1.69400,13.96000,9.09700,13.03700
86,L0086,P0000000100-42,4,A,4.16,1.84200,1.39800,0.36200,4.79100,3.00700,11.51000
87,L0087,P0000000100-43,4,AB,34.5,2.17100,2.72800,1.92300,8.01400,14.07700,10.91500
88,L0088,P0000000100-50,4,A,34.5,2.73500,2.83600,0.38500,13.39400,9.96700,11.62800
89,L0089,P0000000100-55,4,C,34.5,1.59900,1.69700,1.13000,1.86000,4.77500,2.95900
90,L0090,P0000000100-55-4,1,AB,23,1.35600,0.51800,1.91100,10.09800,13.84500,5.55700
91,L0091,P0000000100-58,4,B,7.62,0.55900,2.62000,1.32600,3.36800,5.70000,8.71800
92,L0092,P0000000100-66,4,AB,12.47,1.62700,2.72700,1.37400,9.59000,5.72200,5.73200
93,L0093,P0000000100-71,4,ABC,13.8,2.73900,1.28100,2.37900,5.18000,14.90600,5.29000
94,L0094,P0000000100-71-3,3,ABC,7.62,2.11200,1.87500,2.40000,13.73500,12.10600,4.73700
95,L0095,P0000000100-72,1,CA,7.62,0.64400,2.43500,0.82400,1.75200,6.91500,9.77600
96,L0096,P0000000100-72M,4,AB,12.47,0.18800,1.51100,2.87700,2.42900,3.51600,7.03200
97,L0097,P0000000100-72Q,4,AB,4.16,2.00300,2.92500,1.40700,8.17900,3.25300,14.35300
98,L0098,P0000000100-72Q8,4,A,34.5,2.10300,1.40800,0.12500,3.13900,8.69800,9.68400
99,L0099,P0000000100-72Q8c,4,BC,13.8,1.82600,2.78600,2.51600,14.82400,10.89400,12.25600
100,L0100,P0000000100-72Q12,4,C,23,0.29900,0.07500,2.14800,10.61500,12.30500,14.87800
101,L0101,P0000000100-72Y,4,CA,13.8,2.40700,1.13600,2.39600,10.69700,7.28400,3.40200
