Count,Voltage Regulator ID,"From 
Bus ID","To  
Bus ID",Regulated Bus ID,Phase Type,Phasing,Phase Sense,KVA Rating ,KV Rating ,Target Voltage (120V base),Bandwidth     (120V base),R-Setting Phase A,R-Setting Phase B,R-Setting Phase C,X-Setting Phase A,X-Setting Phase B,X-Setting Phase C,Primary Current Rating (A),PT Ratio,No-Load Loss (kW),Exciting Current (%)
1,VR0001,P00000001,BUS-001,RBUS-001,3PH,CAB,ABC,825,13.8,119.6,3.6,3.5,7.1,5.3,11.9,9.3,12.8,185,2.23080,0.37000,2.02000
2,VR0002,P00000001-7,BUS-002,RBUS-002,3PH,CAB,ABC,550,23,120.2,3.7,8,6.5,9.6,10.2,18.8,11.3,165,2.75836,1.11000,1.26000
3,VR0003,P00000001-7A,BUS-003,RBUS-003,3PH,CBA,ABC,275,34.5,118.7,3.6,1.6,7.4,4.3,17.7,9.5,11.9,155,2.64711,0.53000,1.12000
4,VR0004,P00000001-9,BUS-004,RBUS-004,3PH,CAB,ABC,875,13.8,119,4,8,2.3,1.7,14.3,13.4,8.3,190,2.02959,0.25000,2.19000
5,VR0005,P00000001-17,BUS-005,RBUS-005,3PH,ACB,ABC,850,7.2,120.5,1.1,4.1,2.9,8.5,11,9.2,18.1,120,2.64780,0.27000,1.70000
6,VR0006,P00000001-19,BUS-006,RBUS-006,3PH,CAB,ABC,250,13.8,118.2,3.8,4.4,2.4,7.5,8,18.1,12.3,115,2.27479,1.47000,1.17000
7,VR0007,P00000001-19-10,BUS-007,RBUS-007,3PH,ABC,ABC,275,7.2,121.4,3.8,6.3,5.1,9.6,18.7,11.6,18,185,2.42250,0.64000,1.64000
8,VR0008,P00000001-19-38,BUS-008,RBUS-008,3PH,CBA,ABC,575,34.5,119.4,2,3.4,1.5,1.2,11.1,12.3,6.6,85,2.37197,1.43000,1.02000
9,VR0009,P00000001-24,BUS-009,RBUS-009,3PH,CBA,CBA,400,7.2,121.9,2.7,6.2,4.1,6.3,8.4,18.5,10.5,110,2.22316,0.76000,1.06000
10,VR0010,P0000000009,BUS-010,RBUS-010,3PH,ABC,CBA,700,23,120.2,3.1,3.8,1.5,1.3,5.7,5.9,13.5,25,2.10177,1.03000,1.80000
11,VR0011,P0000000013,BUS-011,RBUS-011,3PH,BAC,ABC,425,34.5,118.6,2.3,5.9,5.2,1.5,10,13.3,13.2,130,2.68397,1.24000,1.37000
12,VR0012,P0000000015,BUS-012,RBUS-012,3PH,CAB,ABC,625,34.5,120.9,1.2,7,4.4,4.4,14.5,17.1,18.7,120,2.68793,0.83000,2.46000
13,VR0013,P0000000016,BUS-013,RBUS-013,3PH,ACB,ABC,350,34.5,119.7,3.3,6.2,8.7,8.6,9.8,9.3,5.7,200,2.52261,0.24000,1.07000
14,VR0014,P0000000016-13,BUS-014,RBUS-014,3PH,ACB,ABC,850,23,120.6,3.8,4.7,7,9.6,7,7.1,13.3,60,2.46856,0.68000,2.46000
15,VR0015,P0000000025,BUS-015,RBUS-015,3PH,ABC,ABC,350,13.8,121.1,3.6,2.9,2.7,2.7,16.9,9.4,12.8,140,2.21803,0.54000,0.71000
16,VR0016,P0000000034,BUS-016,RBUS-016,3PH,ACB,ABC,925,7.2,121.3,2.5,5.2,3.1,9.4,11.4,19.4,11,170,2.45092,0.56000,1.73000
17,VR0017,P000000034A,BUS-017,RBUS-017,3PH,BAC,ABC,650,23,121.9,3.9,8,1.6,6.3,14.8,5.3,12.1,120,2.90653,1.35000,1.11000
18,VR0018,P0000000034-7,BUS-018,RBUS-018,3PH,BAC,ABC,775,7.2,119.2,2.2,7.8,1.9,8.1,17.3,19.4,13.5,95,2.29258,1.36000,1.80000
19,VR0019,P0000000034-7A,BUS-019,RBUS-019,3PH,CAB,CBA,525,23,121,1.5,10,7,3.5,17.8,11,17.8,130,2.83448,1.41000,2.02000
20,VR0020,P0000000034-9,BUS-020,RBUS-020,3PH,ACB,CBA,700,13.8,121.7,2.2,6.4,1.9,7.6,8.7,17.1,10.9,80,2.65790,0.71000,2.33000
21,VR0021,P0000000034-9a,BUS-021,RBUS-021,3PH,CAB,ABC,800,23,119.2,3.3,2,5.3,3.2,6.6,18.2,13.3,175,2.58665,0.42000,1.55000
22,VR0022,P0000000034-18,BUS-022,RBUS-022,3PH,ACB,ABC,275,7.2,119.6,3.4,3.6,7.9,3.3,18,6.9,18.2,150,2.08386,0.52000,0.63000
23,VR0023,P0000000034-29,BUS-023,RBUS-023,3PH,BCA,ABC,325,34.5,119.2,2.1,8.1,7.6,6.3,6.3,9.9,12.7,180,2.93835,1.05000,0.60000
24,VR0024,P0000000038,BUS-024,RBUS-024,3PH,CAB,ABC,375,13.8,118.4,3.5,5.5,7.6,9.8,6.8,14.2,14.9,190,2.88288,0.38000,2.02000
25,VR0025,P0000000044,BUS-025,RBUS-025,3PH,ABC,ABC,325,23,119.5,3.9,7.8,10,8.5,11.6,12,15,30,2.58536,0.39000,1.55000
26,VR0026,P0000000044-29,BUS-026,RBUS-026,3PH,BAC,ABC,475,7.2,119.6,2.9,5,1.4,1.1,15.7,12.5,9.9,150,2.41571,1.22000,2.26000
27,VR0027,P0000000044-64,BUS-027,RBUS-027,3PH,CAB,ABC,350,34.5,119.2,3.2,7,9.1,8.7,8.4,5.3,13.7,125,2.61937,0.44000,0.65000
28,VR0028,P0000000045,BUS-028,RBUS-028,3PH,CBA,ABC,425,13.8,121.9,1.5,8.4,3.6,3.9,19.4,18.9,19.9,45,2.20499,1.08000,0.75000
29,VR0029,P0000000046,BUS-029,RBUS-029,3PH,ABC,ABC,775,23,120,2.1,9.9,9.8,2.7,18.1,10.3,7.3,50,2.55480,0.98000,1.35000
30,VR0030,P0000000046-22,BUS-030,RBUS-030,3PH,BAC,ABC,900,13.8,120.8,2,5.5,3.4,1.8,16.3,14.6,6.5,170,2.56041,1.00000,0.83000
31,VR0031,P0000000049,BUS-031,RBUS-031,3PH,CBA,ABC,275,7.2,118.9,1.8,6,1.4,7.2,16.9,16.9,16.5,165,2.10930,0.69000,1.46000
32,VR0032,P0000000049A,BUS-032,RBUS-032,3PH,CAB,ABC,650,23,119.1,3.9,1.5,8.1,4,14,9.7,11.7,145,2.43249,1.06000,1.92000
33,VR0033,P0000000049-3,BUS-033,RBUS-033,3PH,ABC,ABC,625,23,119.7,3.5,9.7,7.1,1.8,15.1,11.5,13.9,105,2.92422,1.20000,1.28000
34,VR0034,P0000000054,BUS-034,RBUS-034,3PH,BCA,ABC,975,23,121,3.4,1.1,8.6,5.9,15.4,10.7,9.9,70,2.08272,1.25000,1.97000
35,VR0035,P000000054A,BUS-035,RBUS-035,3PH,BAC,CBA,275,23,118.6,1.5,3.3,4.6,9.5,19.2,8.2,16.4,105,2.81772,0.92000,1.08000
36,VR0036,P0000000054-20,BUS-036,RBUS-036,3PH,ACB,ABC,300,7.2,120.8,1.8,2.9,2.5,6,13.4,11.7,5.6,80,2.98374,1.33000,2.30000
37,VR0037,P0000000065,BUS-037,RBUS-037,3PH,ABC,ABC,575,13.8,121.4,2.6,9.2,8.7,2.2,11,14.7,18.3,70,2.59083,1.21000,1.49000
38,VR0038,P0000000072,BUS-038,RBUS-038,3PH,BCA,CBA,475,7.2,120.9,1.5,4.5,2.1,5.9,15.3,7.4,7.4,115,2.54740,0.95000,0.53000
39,VR0039,P0000000072-7,BUS-039,RBUS-039,3PH,BAC,CBA,325,23,120.2,2.8,6.6,1.3,7.3,10.6,11,14.5,40,2.01108,1.35000,0.59000
40,VR0040,P0000000073,BUS-040,RBUS-040,3PH,ACB,ABC,725,7.2,118.4,1.3,2.7,3.9,7.8,10.9,13.8,13,195,2.48399,0.85000,2.00000
41,VR0041,P0000000076,BUS-041,RBUS-041,3PH,BCA,CBA,650,34.5,121.5,2.2,1.1,6.7,6.6,16.9,9.3,11,165,2.34201,0.21000,1.55000
42,VR0042,P0000000090,BUS-042,RBUS-042,3PH,BAC,ABC,300,23,119.5,3.9,3.4,5.7,3.2,18.9,14.3,19.5,120,2.90441,0.66000,2.47000
43,VR0043,P0000000091,BUS-043,RBUS-043,3PH,BAC,ABC,875,23,120.2,3.2,6.1,4,5.1,11,14.4,8.8,30,2.53037,1.04000,1.72000
44,VR0044,P000000091A,BUS-044,RBUS-044,3PH,BCA,ABC,975,7.2,120.1,1.5,3.2,6.4,2,13,19.6,14.7,200,2.30017,0.69000,1.69000
45,VR0045,P000000091B,BUS-045,RBUS-045,3PH,ACB,ABC,875,13.8,121.6,2.2,4.9,4.8,6.5,18.3,18.8,8.6,30,2.45380,1.40000,2.23000
46,VR0046,P0000000092,BUS-046,RBUS-046,3PH,ACB,ABC,275,13.8,121.6,1.9,3.2,8.5,6.4,9.6,8,10,170,2.55287,0.63000,1.49000
47,VR0047,P000000092A,BUS-047,RBUS-047,3PH,ACB,ABC,550,23,118.6,2.1,7.5,5.8,3.9,6,5.4,11.6,110,2.80181,0.71000,2.25000
48,VR0048,P000000092B,BUS-048,RBUS-048,3PH,ACB,ABC,875,7.2,121.6,4,5.9,1.8,4.1,9.6,11.6,17.5,85,2.80882,1.17000,2.38000
49,VR0049,P0000000092-2,BUS-049,RBUS-049,3PH,ABC,ABC,450,13.8,120.9,2.6,7.6,8,7.7,8.9,14.5,10.6,145,2.01782,0.97000,1.86000
50,VR0050,P0000000092-5,BUS-050,RBUS-050,3PH,ACB,ABC,750,7.2,119.5,3.1,2.2,1.6,5.2,18.1,13.7,14.2,100,2.82295,1.45000,1.23000
51,VR0051,P0000000092-7,BUS-051,RBUS-051,3PH,ABC,ABC,925,23,121,1.5,5.4,7.2,5.9,17.3,18.8,6.3,150,2.29955,1.19000,0.90000
52,VR0052,P0000000092-8,BUS-052,RBUS-052,3PH,BAC,CBA,925,7.2,120.1,2.8,2.3,5.2,3.9,8.1,8.5,14.4,60,2.60898,1.22000,1.82000
53,VR0053,P0000000092-9,BUS-053,RBUS-053,3PH,ABC,ABC,350,13.8,121.3,2.7,2.7,3.7,9.5,7.2,5.4,16,185,2.15615,0.89000,0.53000
54,VR0054,P0000000093,BUS-054,RBUS-054,3PH,BAC,ABC,725,34.5,121,1.2,6.3,5.4,3.9,19.5,13.4,17.1,145,2.95281,0.50000,2.49000
55,VR0055,P0000000094,BUS-055,RBUS-055,3PH,CAB,ABC,800,7.2,120.6,2.8,5.6,5.5,4.5,13.8,12.9,10,130,2.64470,1.41000,2.37000
56,VR0056,P000000094A,BUS-056,RBUS-056,3PH,CBA,CBA,925,13.8,118.5,3.2,7.3,1.5,9.9,7,10.9,15,55,2.37863,1.17000,1.13000
57,VR0057,P000000094B,BUS-057,RBUS-057,3PH,ABC,ABC,750,34.5,118.6,1.7,7.2,1.8,3.2,15.7,17.7,16,60,2.65604,0.49000,1.99000
58,VR0058,P000000094C,BUS-058,RBUS-058,3PH,BCA,CBA,775,23,119.1,3.4,1.2,9.9,8.1,18.3,6.2,17.4,165,2.83577,0.71000,2.02000
59,VR0059,P0000000095,BUS-059,RBUS-059,3PH,BAC,ABC,900,13.8,119.7,3,8.6,1.5,3.4,14.5,10.8,14.4,25,2.75914,0.51000,2.49000
60,VR0060,P0000000095-7,BUS-060,RBUS-060,3PH,ABC,ABC,900,23,120.3,2.2,3.4,6.5,8.8,19.6,10.5,12.4,55,2.06678,0.64000,1.78000
61,VR0061,P0000000099,BUS-061,RBUS-061,3PH,CAB,ABC,900,13.8,121,2.7,3.4,1.7,7.3,12.6,14.6,8,120,2.15893,0.80000,1.19000
62,VR0062,P0000000100,BUS-062,RBUS-062,3PH,BAC,ABC,975,7.2,119.7,1.7,4.3,9.1,6.9,12.5,13.3,18,90,2.62989,0.23000,0.76000
63,VR0063,P000000100A,BUS-063,RBUS-063,3PH,ACB,CBA,800,23,121.3,2.9,5,1.5,2.9,19.2,10.7,6.6,185,2.00646,1.13000,0.93000
64,VR0064,P000000100B,BUS-064,RBUS-064,3PH,ABC,ABC,850,34.5,120.3,3.2,2.3,8.7,1.3,15.6,11.8,6.9,110,2.68890,0.47000,0.83000
