Count,Customer ID,Billing Period Code,Energy Consumed (kWHr),Power Factor
1,1010071788,202301,41,0.85
2,2020010007,202301,0,0.85
3,2020010010,202301,201,0.85
4,2020010020,202301,79,0.85
5,2020010029,202301,179,0.85
6,2020010030,202301,0,0.85
7,2020010040,202301,90,0.85
8,2020010045,202301,52,0.85
9,2020010046,202301,18,0.85
10,2020010050,202301,110,0.85
11,2020010060,202301,24,0.85
12,2020010066,202301,1,0.85
13,2020010070,202301,784,0.85
14,2020010073,202301,6,0.85
15,2020010080,202301,70,0.85
16,2020010086,202301,106,0.85
17,2020010090,202301,58,0.85
18,2020010100,202301,43,0.85
19,2020010105,202301,95,0.85
20,2020010115,202301,39,0.85
21,2020010120,202301,90,0.85
22,2020010125,202301,1,0.85
23,2020010126,202301,188,0.85
24,2020010130,202301,230,0.85
25,2020010132,202301,122,0.85
26,2020010133,202301,48,0.85
27,2020010140,202301,10,0.85
28,2020010145,202301,8,0.85
29,2020010150,202301,80,0.85
30,2020010160,202301,65,0.85
31,2020010170,202301,61,0.85
32,2020010171,202301,15,0.85
33,2020010175,202301,60,0.85
34,2020010180,202301,53,0.85
35,2020010185,202301,165,0.85
36,2020010195,202301,177,0.85
37,2020010210,202301,146,0.85
38,2020010215,202301,0,0.85
39,2020010220,202301,109,0.85
40,2020010221,202301,89,0.85
41,2020010235,202301,0,0.85
42,2020010240,202301,152,0.85
43,2020010245,202301,105,0.85
44,2020010250,202301,32,0.85
45,2020010255,202301,166,0.85
46,2020010260,202301,81,0.85
47,2020010270,202301,102,0.85
48,2020010275,202301,0,0.85
49,2020010280,202301,136,0.85
50,2020010283,202301,0,0.85
51,2020010290,202301,609,0.85
52,2020010295,202301,83,0.85
53,2020010296,202301,118,0.85
54,2020010300,202301,0,0.85
55,2020010310,202301,29,0.85
56,2020010315,202301,359,0.85
57,2020010320,202301,60,0.85
58,2020010321,202301,26,0.85
59,2020010325,202301,57,0.85
60,2020010330,202301,566,0.85
61,2020010340,202301,77,0.85
62,2020010350,202301,10,0.85
63,2020010360,202301,169,0.85
64,2020010366,202301,123,0.85
65,2020010368,202301,36,0.85
66,2020010375,202301,143,0.85
67,2020010380,202301,213,0.85
68,2020010385,202301,0,0.85
69,2020010390,202301,223,0.85
70,2020010395,202301,81,0.85
71,2020010400,202301,66,0.85
72,2020010405,202301,25,0.85
73,2020010410,202301,110,0.85
74,2020010415,202301,31,0.85
75,2020010420,202301,227,0.85
76,2020010425,202301,13,0.85
77,2020010430,202301,602,0.85
78,2020010435,202301,80,0.85
79,2020010440,202301,42,0.85
80,2020010447,202301,64,0.85
81,2020010450,202301,26,0.85
82,2020010455,202301,106,0.85
83,2020010460,202301,1,0.85
84,2020010465,202301,76,0.85
85,2020010470,202301,91,0.85
86,2020010473,202301,873,0.85
87,2020010480,202301,184,0.85
88,2020010485,202301,143,0.85
89,2020010490,202301,21,0.85
90,2020010495,202301,8,0.85
91,2020010500,202301,17,0.85
92,2020010505,202301,20,0.85
93,2020010510,202301,88,0.85
94,2020010515,202301,0,0.85
95,2020010525,202301,476,0.85
96,2020010526,202301,0,0.85
97,2020010532,202301,0,0.85
98,2020010535,202301,233,0.85
99,2020010536,202301,105,0.85
100,2020010537,202301,0,0.85
101,2020010538,202301,18,0.85
102,2020010540,202301,7,0.85
103,2020010541,202301,10,0.85
104,2020010545,202301,479,0.85
105,2020010550,202301,183,0.85
106,2020010560,202301,0,0.85
107,2020010565,202301,21,0.85
108,2020010570,202301,116,0.85
109,2020010572,202301,36,0.85
110,2020010575,202301,0,0.85
111,2020010580,202301,141,0.85
112,2020010585,202301,64,0.85
113,2020010586,202301,140,0.85
114,2020010590,202301,19,0.85
115,2020010595,202301,4,0.85
116,2020010600,202301,283,0.85
117,2020010605,202301,9,0.85
118,2020010610,202301,69,0.85
119,2020010615,202301,50,0.85
120,2020010620,202301,552,0.85
121,2020010625,202301,22,0.85
122,2020010630,202301,85,0.85
123,2020010640,202301,687,0.85
124,2020010645,202301,78,0.85
125,2020010650,202301,110,0.85
126,2020010665,202301,100,0.85
127,2020010666,202301,27,0.85
128,2020010670,202301,220,0.85
129,2020010674,202301,2180,0.85
130,2020010675,202301,60,0.85
131,2020010676,202301,48,0.85
132,2020010680,202301,145,0.85
133,2020010685,202301,149,0.85
134,2020010690,202301,67,0.85
135,2020010695,202301,2,0.85
136,2020010696,202301,0,0.85
137,2020010698,202301,29,0.85
138,2020010700,202301,106,0.85
139,2020010705,202301,163,0.85
140,2020010710,202301,43,0.85
141,2020010715,202301,0,0.85
142,2020010720,202301,94,0.85
143,2020010730,202301,152,0.85
144,2020010732,202301,28,0.85
145,2020010735,202301,184,0.85
146,2020010740,202301,420,0.85
147,2020010745,202301,0,0.85
148,2020010750,202301,63,0.85
149,2020010755,202301,573,0.85
150,2020010765,202301,411,0.85
151,2020010770,202301,116,0.85
152,2020010776,202301,126,0.85
153,2020010780,202301,88,0.85
154,2020010785,202301,57,0.85
155,2020010793,202301,83,0.85
156,2020010795,202301,207,0.85
157,2020010810,202301,29,0.85
158,2020010820,202301,139,0.85
159,2020010830,202301,106,0.85
160,2020010834,202301,30,0.85
161,2020010840,202301,41,0.85
162,2020010845,202301,114,0.85
163,2020010850,202301,0,0.85
164,2020010860,202301,20,0.85
165,2020010865,202301,0,0.85
166,2020010870,202301,18,0.85
167,2020010875,202301,54,0.85
168,2020010880,202301,61,0.85
169,2020010890,202301,48,0.85
170,2020010895,202301,25,0.85
171,2020010911,202301,78,0.85
172,2020010914,202301,0,0.85
173,2020010915,202301,91,0.85
174,2020010920,202301,5,0.85
175,2020010925,202301,16,0.85
176,2020010926,202301,389,0.85
177,2020010930,202301,62,0.85
178,2020010940,202301,112,0.85
179,2020010945,202301,0,0.85
180,2020010950,202301,105,0.85
181,2020010955,202301,0,0.85
182,2020010960,202301,1,0.85
183,2020010970,202301,23,0.85
184,2020010975,202301,89,0.85
185,2020010980,202301,456,0.85
186,2020010990,202301,5,0.85
187,2020010995,202301,24,0.85
188,2020011001,202301,9,0.85
189,2020011010,202301,14,0.85
190,2020011015,202301,0,0.85
191,2020011040,202301,57,0.85
192,2020011045,202301,45,0.85
193,2020011050,202301,54,0.85
194,2020011055,202301,0,0.85
195,2020011060,202301,19,0.85
196,2020011085,202301,16,0.85
197,2020011088,202301,129,0.85
198,2020011090,202301,47,0.85
199,2020011092,202301,24,0.85
200,2020011093,202301,94,0.85
201,2020011095,202301,31,0.85
202,2020011096,202301,149,0.85
203,2020011098,202301,0,0.85
204,2020011099,202301,50,0.85
205,2020011100,202301,86,0.85
206,2020011101,202301,5,0.85
207,2020011105,202301,25,0.85
208,2020011107,202301,123,0.85
209,2020011108,202301,0,0.85
210,2020011109,202301,19,0.85
211,2020011110,202301,10,0.85
212,2020011111,202301,37,0.85
213,2020011112,202301,0,0.85
214,2020011114,202301,0,0.85
215,2020011115,202301,0,0.85
216,2020011117,202301,5,0.85
217,2020011120,202301,0,0.85
218,2020011123,202301,0,0.85
219,2020011124,202301,25,0.85
220,2020011125,202301,8,0.85
221,2020011126,202301,0,0.85
222,2020011135,202301,124,0.85
223,2020011145,202301,72,0.85
224,2020011150,202301,387,0.85
225,2020011160,202301,4,0.85
226,2020011163,202301,99,0.85
227,2020011164,202301,38,0.85
228,2020011165,202301,78,0.85
229,2020011166,202301,111,0.85
230,2020011170,202301,188,0.85
231,2020011175,202301,38,0.85
232,2020011180,202301,57,0.85
233,2020011185,202301,16,0.85
234,2020011190,202301,11,0.85
235,2020011195,202301,27,0.85
236,2020011200,202301,37,0.85
237,2020011205,202301,172,0.85
238,2020011210,202301,12,0.85
239,2020011220,202301,145,0.85
240,2020011230,202301,34,0.85
241,2020011235,202301,22,0.85
242,2020011240,202301,268,0.85
243,2020011245,202301,23,0.85
244,2020011250,202301,94,0.85
245,2020011255,202301,291,0.85
246,2020011260,202301,8,0.85
247,2020011265,202301,93,0.85
248,2020011270,202301,16,0.85
249,2020011271,202301,1,0.85
250,2020011272,202301,47,0.85
251,2020011275,202301,0,0.85
252,2020011276,202301,85,0.85
253,2020011280,202301,36,0.85
254,2020011281,202301,197,0.85
255,2020011283,202301,0,0.85
256,2020011284,202301,395,0.85
257,2020011285,202301,38,0.85
258,2020011286,202301,63,0.85
259,2020011287,202301,40,0.85
260,2020011288,202301,27,0.85
261,2020011289,202301,184,0.85
262,2020011290,202301,100,0.85
263,2020011295,202301,77,0.85
264,2020011300,202301,82,0.85
265,2020011310,202301,299,0.85
266,2020011325,202301,62,0.85
267,2020011330,202301,80,0.85
268,2020011335,202301,22,0.85
269,2020011340,202301,114,0.85
270,2020011350,202301,0,0.85
271,2020011351,202301,7,0.85
272,2020011352,202301,13,0.85
273,2020011353,202301,61,0.85
274,2020011354,202301,71,0.85
275,2020011355,202301,68,0.85
276,2020011360,202301,60,0.85
277,2020011363,202301,18,0.85
278,2020011364,202301,1,0.85
279,2020011365,202301,10,0.85
280,2020011366,202301,50,0.85
281,2020011367,202301,80,0.85
282,2020011368,202301,18,0.85
283,2020011369,202301,21,0.85
284,2020011370,202301,0,0.85
285,2020011383,202301,87,0.85
286,2020011385,202301,29,0.85
287,2020011386,202301,30,0.85
288,2020011390,202301,27,0.85
289,2020011391,202301,9,0.85
290,2020011395,202301,161,0.85
291,2020011400,202301,30,0.85
292,2020011410,202301,18,0.85
293,2020011415,202301,166,0.85
294,2020011420,202301,4,0.85
295,2020011425,202301,6,0.85
