Count,Customer ID,Customer Name,Customer Type,Service Voltage,Phase
1,1010071788,"MICMIC, ALCHER B.",RES2,240,1
2,2020010007,D P W H 2ND LEYTE ENG'G DIST.,PB,240,1
3,2020010010,"JACELA, FEDERICO",RES4,240,1
4,2020010020,"PRECIA, VILMA GRABADOR",RES2,240,1
5,2020010029,"LLOSE, FERNANDO",RES3,240,1
6,2020010030,"SALVACION, ERLINDA/CEMETERY",PB,240,1
7,2020010040,"BACATANO, ISAIAS",RES1,240,1
8,2020010045,"FALGUERA, BERNARDO",RES2,240,1
9,2020010046,"BACATANO, GINA",RES1,240,1
10,2020010050,"FLORENDO, ISABELO",RES3,240,1
11,2020010060,"BACATANO, POLICARPO",RES1,240,1
12,2020010066,"SENECA, ARTEMIO M.                      ",PB,240,1
13,2020010070,"AGUILAR, LINO",RES4,240,1
14,2020010073,"AGUILAR, ANTONIO",RES1,240,1
15,2020010080,"ARINTOK, VIOLETA",RES1,240,1
16,2020010086,"ARINTOK, EDITHA",RES3,240,1
17,2020010090,"QUINTANA, JOSEPH",RES1,240,1
18,2020010100,"NIVAL, FELICITAS",RES2,240,1
19,2020010105,"CABELTIS, LORNA B.",RES3,240,1
20,2020010115,"BACAIO, SUSANA B.",RES2,240,1
21,2020010120,"LLOSE, MILAGROS",RES4,240,1
22,2020010125,"GRABADOR, MANUEL",RES2,240,1
23,2020010126,"BOYO, LEOPOLDO JR.",RES2,240,1
24,2020010130,"GRABADOR, JOSEPH M.",RES3,240,1
25,2020010132,"RECILLA, SUSAN",RES4,240,1
26,2020010133,"GRABADOR, PRESCILA",RES2,240,1
27,2020010140,"OLEDAN, FE",RES1,240,1
28,2020010145,"CABORNIDA, MARLON",RES1,240,1
29,2020010150,"RECILLA, FE",RES3,240,1
30,2020010160,"NEGADO, TRINIDAD",RES3,240,1
31,2020010170,"AGUNOS, GREGORIA",RES1,240,1
32,2020010171,"DOLLETE, NENITA",RES4,240,1
33,2020010175,"OLEDAN, ELISA B./JONATHAN",RES1,240,1
34,2020010180,"HIDALGO, GREGORIA",RES2,240,1
35,2020010185,"HIDALGO, AGAPITO O. JR.",RES4,240,1
36,2020010195,"RAMOS, EDICZAR",RES3,240,1
37,2020010210,"INABANGAN, VISITACION",RES4,240,1
38,2020010215,"FALLORE, FELISA V.",RES1,240,1
39,2020010220,"INABANGAN, CECELIA",RES3,240,1
40,2020010221,"BRILATA, ERLINDA",RES1,240,1
41,2020010235,"OBEJERA, CARMEN L.",RES2,240,1
42,2020010240,"PALMES, PACITA",RES4,240,1
43,2020010245,"BARDELOSA, LEAH E.",RES4,240,1
44,2020010250,"BARDELOSA, ELPIDIO",RES2,240,1
45,2020010255,"ILAD, MYRNA",RES4,240,1
46,2020010260,"INABANGAN, ANACORITA",RES3,240,1
47,2020010270,"RIEL, ADELINA N.",RES3,240,1
48,2020010275,"ENOSARIO, MARIBEL",RES2,240,1
49,2020010280,"ARUTA, CYNTHIA",RES3,240,1
50,2020010283,"CONTAPAY, MARVIN",RES3,240,1
51,2020010290,"RIEL, FRANCISCO",RES1,240,1
52,2020010295,"RIEL, CONRADO, JR.",RES3,240,1
53,2020010296,"NARTEA, CHARLIE",RES4,240,1
54,2020010300,"RIEL, CASTULO",RES4,240,1
55,2020010310,"SANGRANO, CONCHITA",RES2,240,1
56,2020010315,"CABELLO, MA. EDITHA",RES3,240,1
57,2020010320,"CANABE, DOMINGO",RES3,240,1
58,2020010321,"BALDESCO, LEO",RES1,240,1
59,2020010325,"ESQUIBEL, RENE A./CARMEN VIOLETA",RES3,240,1
60,2020010330,"RA?IN, TEODORO",RES4,240,1
61,2020010340,"LIPORADA, GERONIMO C.",RES2,240,1
62,2020010350,"TALUA, TEODORICO",RES1,240,1
63,2020010360,"BASALLAJE, ELEUTERIA",RES4,240,1
