Count,Series Inductor ID,"From 
Bus ID","To  
Bus ID",Phase Type,Phasing,Voltage Rating (kV),Resistance Phase A (Ohms),Resistance Phase B (Ohms),Resistance Phase C (Ohms),Reactance Phase A (Ohms),Reactance Phase B (Ohms),Reactance Phase C (Ohms)
1,SIND0001,P00000001,P00000001-1A,4,C,23,0.75500,0.36600,1.26200,2.86600,7.37500,3.47800
2,SIND0002,P00000001-7,P00000001-2A,4,AB,34.5,0.33700,0.83600,1.13700,3.60900,3.22400,2.94900
3,SIND0003,P00000001-7A,P00000001-3A,4,CA,34.5,1.01200,1.15900,1.45300,7.14300,3.11700,3.19700
4,SIND0004,P00000001-9,P00000001-4A,4,A,23,1.42400,1.44300,1.18400,8.81400,2.56100,4.09000
5,SIND0005,P00000001-17,P00000001-5A,1,A,13.8,0.23800,0.84600,1.10400,6.21500,6.31200,3.94200
6,SIND0006,P00000001-19,P00000001-6A,3,CA,13.8,0.86900,1.18100,1.10700,1.16300,3.26700,4.80100
7,SIND0007,P00000001-19-10,P00000001-7A,4,CA,34.5,0.41700,0.13000,0.60900,6.30900,2.18800,2.77500
8,SIND0008,P00000001-19-38,P00000001-8A,4,ABC,23,0.58600,0.64400,1.19900,9.36300,9.50400,4.45000
9,SIND0009,P00000001-24,P00000001-9A,4,B,7.62,1.03500,1.33600,0.54800,3.62500,1.60900,3.44400
10,SIND0010,P0000000009,P00000001-10A,4,C,23,1.41600,0.06300,1.03400,5.65100,7.41200,6.51400
11,SIND0011,P0000000013,P00000001-11A,4,B,12.47,0.13700,1.10700,1.03500,2.41500,6.09800,4.65000
12,SIND0012,P0000000015,P00000001-12A,4,B,69,1.33500,0.88800,1.44400,5.87500,4.12600,6.24600
13,SIND0013,P0000000016,P00000001-13A,4,CA,4.16,0.05800,1.17900,0.35400,4.40900,4.74300,5.91600
14,SIND0014,P0000000016-13,P00000001-14A,4,ABC,34.5,0.06300,0.03300,0.38500,1.81800,0.29800,8.29500
15,SIND0015,P0000000025,P00000001-15A,3,C,23,0.16800,1.26400,0.00300,0.28900,5.85100,5.87600
16,SIND0016,P0000000034,P00000001-16A,4,A,13.8,1.29100,0.15400,0.42400,8.60700,1.29500,5.33700
17,SIND0017,P000000034A,P00000001-17A,4,A,69,1.24800,0.48600,1.28000,2.01800,1.86500,1.32300
18,SIND0018,P0000000034-7,P00000001-18A,4,B,7.62,0.24100,0.65200,0.80800,5.48800,8.24200,6.60500
19,SIND0019,P0000000034-7A,P00000001-19A,4,CA,34.5,0.04000,1.09600,1.17200,7.73700,2.33600,3.97400
20,SIND0020,P0000000034-9,P00000001-20A,4,A,12.47,1.22600,0.29700,1.04600,4.36500,2.06300,6.20600
21,SIND0021,P0000000034-9a,P00000001-21A,4,C,69,1.34500,1.48000,0.78100,2.55100,4.52500,3.40700
22,SIND0022,P0000000034-18,P00000001-22A,4,B,34.5,1.04900,1.30600,1.10500,3.94900,3.08500,3.37900
23,SIND0023,P0000000034-29,P00000001-23A,4,C,23,0.68300,0.05700,1.09400,1.08300,7.51200,3.07000
24,SIND0024,P0000000038,P00000001-24A,4,BC,12.47,0.74400,1.49700,1.26100,9.14100,9.66000,4.52700
25,SIND0025,P0000000044,P00000001-25A,4,BC,69,1.33300,1.21400,0.03500,9.71600,3.51900,7.45000
26,SIND0026,P0000000044-29,P00000001-26A,4,AB,69,1.43400,1.00100,0.13300,6.92400,4.34100,9.54500
27,SIND0027,P0000000044-64,P00000001-27A,4,C,69,1.12600,0.72700,1.21900,8.78400,4.34600,6.35800
28,SIND0028,P0000000045,P00000001-28A,4,B,13.8,0.67800,1.43600,1.31300,2.40100,6.78300,4.96800
29,SIND0029,P0000000046,P00000001-29A,4,C,34.5,1.35000,0.36400,0.68200,5.84900,0.55200,4.02500
30,SIND0030,P0000000046-22,P00000001-30A,4,CA,23,0.71700,0.90200,0.74200,3.93400,5.20600,8.54900
31,SIND0031,P0000000049,P00000001-31A,4,ABC,13.8,0.58100,0.88900,1.11600,8.14900,7.96200,8.15000
32,SIND0032,P0000000049A,P00000001-32A,4,B,12.47,1.09300,1.17900,1.44500,8.20900,6.33500,3.21200
33,SIND0033,P0000000049-3,P00000001-33A,4,B,12.47,1.36200,0.01200,1.28000,3.42700,2.11400,3.08100
34,SIND0034,P0000000054,P00000001-34A,2,BC,13.8,0.91900,0.10400,0.04600,9.75100,8.04100,4.75500
35,SIND0035,P000000054A,P00000001-35A,4,CA,4.16,0.29000,1.23000,0.36000,2.08300,5.49500,4.77500
36,SIND0036,P0000000054-20,P00000001-36A,1,ABC,7.62,0.89500,0.50100,0.29000,8.01900,4.23500,6.88200
37,SIND0037,P0000000065,P00000001-37A,4,BC,34.5,0.37700,1.48400,0.50500,3.11300,2.72600,4.97000
38,SIND0038,P0000000072,P00000001-38A,4,BC,12.47,0.49400,1.35900,1.34900,3.66600,3.94100,3.01900
39,SIND0039,P0000000072-7,P00000001-39A,4,C,7.62,1.13400,0.57200,1.18300,7.32000,8.00100,4.97900
40,SIND0040,P0000000073,P00000001-40A,4,A,23,0.71200,0.58600,1.48500,5.78600,6.78200,7.77600
41,SIND0041,P0000000076,P00000001-41A,4,B,13.8,1.35300,1.40300,1.24500,2.43700,5.09300,1.48200
42,SIND0042,P0000000090,P00000001-42A,4,CA,7.62,1.26300,0.46500,0.54800,6.47500,4.85800,8.09300
43,SIND0043,P0000000091,P00000001-43A,4,ABC,69,0.49200,0.60400,0.89900,3.53800,2.89700,6.39800
44,SIND0044,P000000091A,P00000001-44A,2,BC,12.47,0.25100,0.06200,0.25600,3.35600,4.62300,7.45700
45,SIND0045,P000000091B,P00000001-45A,4,ABC,12.47,0.68100,0.57900,0.66600,3.83900,6.57400,7.43300
46,SIND0046,P0000000092,P00000001-46A,2,A,13.8,1.00800,0.21300,0.87100,7.97700,8.12800,6.69800
47,SIND0047,P000000092A,P00000001-47A,1,BC,7.62,0.89300,0.23300,0.25300,7.79200,1.87000,6.77900
48,SIND0048,P000000092B,P00000001-48A,3,AB,69,0.86700,1.47700,0.12800,7.01700,7.29700,9.83500
49,SIND0049,P0000000092-2,P00000001-49A,4,B,12.47,0.84100,0.44500,0.67000,7.16700,5.09700,6.57600
50,SIND0050,P0000000092-5,P00000001-50A,4,CA,13.8,0.54000,0.92900,1.09800,2.81700,1.94800,3.87000
51,SIND0051,P0000000092-7,P00000001-51A,4,A,4.16,0.10800,0.66100,0.47300,9.53800,5.47100,7.18500
52,SIND0052,P0000000092-8,P00000001-52A,4,ABC,34.5,0.75600,0.22600,0.87700,1.49800,6.28900,6.77700
53,SIND0053,P0000000092-9,P00000001-53A,4,CA,13.8,0.81700,1.25100,0.51900,6.63000,3.60200,9.35900
54,SIND0054,P0000000093,P00000001-54A,4,B,34.5,0.03700,0.88300,0.19400,9.91700,8.76600,3.03600
55,SIND0055,P0000000094,P00000001-55A,4,BC,12.47,0.03700,0.88900,1.20500,5.34000,5.47200,1.44300
56,SIND0056,P000000094A,P00000001-56A,4,BC,34.5,1.21100,0.30600,0.50300,4.86700,1.15800,5.08700
57,SIND0057,P000000094B,P00000001-57A,4,AB,23,0.49700,1.30500,0.69900,2.30000,4.84500,6.12100
58,SIND0058,P000000094C,P00000001-58A,4,A,23,0.73600,1.25000,1.23600,3.71300,2.41600,5.84900
59,SIND0059,P0000000095,P00000001-59A,4,C,23,0.08800,0.75800,0.73300,2.16200,7.42800,5.53600
60,SIND0060,P0000000095-7,P00000001-60A,4,B,13.8,1.01100,0.58400,0.47400,5.39000,4.59800,6.96300
61,SIND0061,P0000000099,P00000001-61A,4,C,34.5,0.46000,0.83300,1.19500,1.21000,9.01600,6.44400
62,SIND0062,P0000000100,P00000001-62A,2,C,69,0.00500,1.06000,0.10100,4.38800,9.30100,8.61700
63,SIND0063,P000000100A,P00000001-63A,4,AB,13.8,0.17800,1.15100,0.57500,0.46900,7.54700,4.11300
64,SIND0064,P000000100B,P00000001-64A,4,A,4.16,0.14700,0.38700,0.43700,7.48900,7.09400,5.41300
65,SIND0065,P0000000100-1,P00000001-65A,4,A,69,1.29100,0.29900,1.12600,1.59000,9.79900,7.36500
66,SIND0066,P0000000100-2,P00000001-66A,4,AB,69,1.46900,1.39300,0.80100,2.53200,2.79700,4.57300
67,SIND0067,P0000000100-6,P00000001-67A,4,AB,7.62,1.19700,0.54400,1.45200,4.31100,6.62300,8.78500
68,SIND0068,P0000000100-6A,P00000001-68A,4,C,23,0.51800,0.84400,0.18500,4.06100,0.94100,4.78000
69,SIND0069,P0000000100-7,P00000001-69A,4,CA,13.8,0.65600,0.04400,0.98600,2.42000,7.13600,4.92500
70,SIND0070,P0000000100-13,P00000001-70A,4,C,7.62,0.23500,0.11200,1.37800,2.79100,8.58700,7.49400
71,SIND0071,P0000000100-13m,P00000001-71A,4,BC,13.8,1.02300,0.44600,0.50700,3.19100,5.26100,5.83700
72,SIND0072,P0000000100-13ag,P00000001-72A,4,CA,69,0.26100,1.24300,0.59500,5.70900,6.31100,5.02100
73,SIND0073,P0000000100-13ag6,P00000001-73A,4,C,4.16,0.68200,0.29800,0.56000,6.13800,0.97800,4.78600
74,SIND0074,P0000000100-13ar,P00000001-74A,4,CA,7.62,0.25500,1.33400,0.68700,2.07100,2.59700,5.14800
75,SIND0075,P0000000100-13ax,P00000001-75A,4,ABC,69,0.27600,0.52900,0.92600,2.17600,8.11100,5.59600
76,SIND0076,P0000000100-13ax15,P00000001-76A,1,A,7.62,0.69600,1.29400,0.08900,9.80400,8.76900,7.29800
77,SIND0077,P0000000100-13bj,P00000001-77A,4,ABC,12.47,0.75500,0.31400,1.44800,7.78600,7.04700,1.69100
78,SIND0078,P0000000100-16,P00000001-78A,2,ABC,12.47,1.07800,0.69900,1.12700,3.87800,0.86400,1.94600
79,SIND0079,P0000000100-20,P00000001-79A,4,AB,34.5,0.01300,1.45200,0.74000,0.90300,5.99600,6.33200
80,SIND0080,P0000000100-28,P00000001-80A,4,C,13.8,0.97600,0.33800,0.32600,6.17400,3.87800,8.57300
81,SIND0081,P0000000100-30,P00000001-81A,4,BC,13.8,0.21800,1.08400,0.41400,2.78800,7.73300,6.94700
82,SIND0082,P0000000100-30i,P00000001-82A,4,ABC,69,0.86200,0.12400,1.31400,8.72900,8.06500,8.81600
83,SIND0083,P0000000100-39,P00000001-83A,4,A,4.16,0.67300,0.48200,0.75600,7.25400,5.34800,5.43700
84,SIND0084,P0000000100-39h,P00000001-84A,1,BC,23,0.05800,0.67400,0.16300,9.44300,1.58400,7.16500
85,SIND0085,P0000000100-39X,P00000001-85A,4,C,4.16,0.30700,0.85100,0.73900,5.17200,1.33900,2.41500
86,SIND0086,P0000000100-42,P00000001-86A,4,ABC,34.5,1.39000,0.60700,1.06700,3.66700,0.84500,4.43000
87,SIND0087,P0000000100-43,P00000001-87A,4,AB,13.8,0.71000,1.11300,1.40100,8.33600,8.03400,8.93100
88,SIND0088,P0000000100-50,P00000001-88A,4,CA,23,1.09000,0.59700,0.91800,5.22500,1.06900,1.21000
89,SIND0089,P0000000100-55,P00000001-89A,4,BC,69,0.72400,0.11300,1.00400,2.84100,1.03600,4.25500
90,SIND0090,P0000000100-55-4,P00000001-90A,4,BC,12.47,0.05600,0.98400,0.68000,4.90000,1.15800,7.46800
91,SIND0091,P0000000100-58,P00000001-91A,2,CA,69,0.20000,1.01200,0.91000,5.10500,3.58500,1.04100
92,SIND0092,P0000000100-66,P00000001-92A,4,C,23,0.49800,0.85900,1.01900,2.36600,4.62000,1.53400
93,SIND0093,P0000000100-71,P00000001-93A,3,B,13.8,0.91900,0.90200,0.22600,8.45700,6.76800,9.04800
94,SIND0094,P0000000100-71-3,P00000001-94A,4,CA,4.16,0.97400,0.81200,0.34900,7.71200,6.71700,8.63000
95,SIND0095,P0000000100-72,P00000001-95A,4,CA,34.5,0.65800,0.91400,0.06600,8.77200,3.11000,3.49500
96,SIND0096,P0000000100-72M,P00000001-96A,4,BC,34.5,0.71700,1.11600,0.00700,1.37200,2.12800,9.83800
97,SIND0097,P0000000100-72Q,P00000001-97A,4,AB,23,0.53900,0.61900,0.54200,1.77600,6.90200,8.87600
98,SIND0098,P0000000100-72Q8,P00000001-98A,4,CA,4.16,0.89300,0.58600,0.37100,2.00300,2.53400,6.80300
99,SIND0099,P0000000100-72Q8c,P00000001-99A,1,CA,34.5,0.95800,0.52600,0.10400,5.77600,3.01300,2.80500
100,SIND0100,P0000000100-72Q12,P00000001-100A,4,A,12.47,0.21000,1.45100,0.81600,3.55200,8.80700,8.28500
101,SIND0101,P0000000100-72Y,P00000001-101A,4,C,23,0.39000,0.39000,1.04800,2.72000,1.07400,4.29800
102,SIND0102,P0000000100-74,P00000001-102A,4,BC,7.62,1.46100,0.81700,0.07000,5.31100,7.64400,5.84800
103,SIND0103,P0000000100-79,P00000001-103A,4,B,7.62,1.15300,1.49500,0.83500,7.97800,4.80100,5.96500
104,SIND0104,P0000000100-85,P00000001-104A,4,CA,7.62,0.24700,1.28800,1.04300,5.25400,4.80300,8.80100
105,SIND0105,P0000000102,P00000001-105A,4,ABC,7.62,0.87000,0.47500,0.44800,7.76100,7.37500,0.52600
106,SIND0106,P0000000106,P00000001-106A,4,BC,69,0.76500,0.28600,1.34300,6.58000,2.03000,4.89600
107,SIND0107,P000000106A,P00000001-107A,3,A,23,0.68600,0.10200,0.03800,3.41300,9.52500,9.87700
108,SIND0108,P0000000106-1,P00000001-108A,2,ABC,34.5,0.99200,0.91100,0.09800,1.46600,5.23400,4.28800
109,SIND0109,P0000000106-2,P00000001-109A,4,B,69,1.21000,0.40400,1.19800,4.58600,6.60600,2.48300
110,SIND0110,P0000000108,P00000001-110A,4,AB,7.62,0.07200,0.51300,0.91600,5.97600,1.19400,7.91200
111,SIND0111,P0000000108-4,P00000001-111A,4,CA,4.16,1.23500,0.01000,0.50200,8.71200,2.61800,1.54800
112,SIND0112,P0000000108-4A,P00000001-112A,4,A,12.47,0.70200,1.00600,0.94900,1.01200,7.62800,1.81300
113,SIND0113,P0000000108-4b,P00000001-113A,3,C,34.5,1.43200,0.34300,0.68800,8.00900,8.86400,4.83900
114,SIND0114,P0000000108-5,P00000001-114A,4,B,4.16,0.49800,0.73100,0.88900,9.07600,8.05400,3.23900
115,SIND0115,P0000000108-7,P00000001-115A,4,ABC,23,1.30100,0.76200,0.49100,8.45900,8.99000,6.24900
116,SIND0116,P0000000108-7A,P00000001-116A,3,ABC,69,1.45600,0.85800,0.71900,5.52300,6.02400,6.25500
117,SIND0117,P0000000108-8,P00000001-117A,4,B,13.8,0.20600,1.27100,1.20400,9.59300,2.13000,3.25500
118,SIND0118,P0000000108-10,P00000001-118A,4,ABC,12.47,1.00400,0.26900,0.59500,1.83700,9.95900,9.10000
119,SIND0119,P0000000108-11,P00000001-119A,4,AB,23,1.00000,1.41700,0.35700,4.12800,6.60600,7.24200
120,SIND0120,P0000000108-12,P00000001-120A,4,ABC,12.47,0.66600,0.14900,1.30500,9.78700,7.55100,5.81300
121,SIND0121,P0000000108-12b,P00000001-121A,4,B,7.62,0.16800,0.14400,0.11200,8.22500,1.85100,2.70900
122,SIND0122,P0000000108-12f,P00000001-122A,1,BC,34.5,0.09800,0.27300,0.01800,7.96100,9.58700,0.91200
123,SIND0123,P0000000108-12h,P00000001-123A,4,BC,7.62,0.26700,0.27200,1.00500,0.96000,4.27900,9.90300
124,SIND0124,P0000000108-18,P00000001-124A,4,B,69,0.27400,1.08500,1.37200,2.45400,2.03400,9.52900
125,SIND0125,P0000000108-19,P00000001-125A,4,ABC,7.62,0.34900,0.38200,0.95200,7.26800,6.36500,1.33500
126,SIND0126,P0000000108-20,P00000001-126A,1,B,34.5,0.24100,0.10700,0.50600,0.90100,5.57100,8.64200
127,SIND0127,P0000000108-20C,P00000001-127A,4,A,34.5,0.60600,0.33700,1.26400,8.04300,8.24500,8.34200
128,SIND0128,P0000000108-20O,P00000001-128A,4,AB,12.47,0.26900,0.97900,1.07200,0.33300,2.88900,1.35200
129,SIND0129,P0000000108-21,P00000001-129A,4,CA,34.5,1.10900,1.11500,0.45900,3.91600,8.23200,8.02100
130,SIND0130,P0000000108-21b,P00000001-130A,2,AB,69,1.08500,1.10800,1.49700,6.18600,5.55600,5.72600
131,SIND0131,P0000000108-24,P00000001-131A,4,BC,34.5,0.51600,0.36500,1.02600,9.44400,4.57200,4.07100
132,SIND0132,P0000000108-24A,P00000001-132A,4,AB,23,0.48700,0.76300,0.93500,4.15000,8.99700,5.98200
