from_bus,to_bus,from_pole,to_pole,connection_type,feeder,circuit,geometry_type
74,74,74,74,Primary_to_Transformer,F6,3 Phase,same_pole
73,73,73,73,Primary_to_Transformer,F6,3 Phase,same_pole
64,63,64,64,Primary_to_Transformer,F6,3 Phase,same_pole
64-b,63-b,64-b,64-b,Primary_to_Transformer,F6,Single Phase,same_pole
64-j,64-j,64-j,64-j,Primary_to_Transformer,F6,Single Phase,same_pole
63,63,63,63,Primary_to_Transformer,F6,3 Phase,same_pole
57,57,57,57,Primary_to_Transformer,F6,3 Phase,same_pole
55,54,55,55,Primary_to_Transformer,F6,3 Phase,same_pole
48-a,48,48-a,48-a,Primary_to_Transformer,F6,3 Phase,same_pole
47-a-e-L,47-a-e-K,47-a-e-L,47-a-e-L,Primary_to_Transformer,F6,Single Phase,same_pole
47-a-e-S-C,47-a-e-S-B,47-a-e-S-C,47-a-e-S-C,Primary_to_Transformer,F6,Single Phase,same_pole
47-a-e-S-D,47-a-e-S-B,47-a-e-S-D,47-a-e-S-D,Primary_to_Transformer,F6,Single Phase,same_pole
47-a-e-S-E,47-a-e-S-B,47-a-e-S-E,47-a-e-S-E,Primary_to_Transformer,F6,Single Phase,same_pole
133-4-a,133-4,133-4-a,133-4-a,Primary_to_Transformer,F1,Single Phase,same_pole
133-4-b,133-4-a,133-4-b,133-4-b,Primary_to_Transformer,F1,Single Phase,same_pole
133-5,133-4-b,133-5,133-5,Primary_to_Transformer,F1,3 Phase,same_pole
133-9,133-8,133-9,133-9,Primary_to_Transformer,F1,3 Phase,same_pole
133-4-b-2,133-4-a,133-4-b-2,133-4-b-2,Primary_to_Transformer,F1,3 Phase,same_pole
133-4-b-1,133-4-b-2,133-4-b-1,133-4-b-1,Primary_to_Transformer,F1,3 Phase,same_pole
133-4-b-3,133-4-b-3,133-4-b-3,133-4-b-3,Primary_to_Transformer,F1,3 Phase,same_pole
133-4-b-3-a,133-4-b-3,133-4-b-3-a,133-4-b-3-a,Primary_to_Transformer,F1,3 Phase,same_pole
133-12-b-1,1133-12-b,133-12-b-1,133-12-b-1,Primary_to_Transformer,F1,Single Phase,same_pole
133-12-I,133-12-H,133-12-I,133-12-I,Primary_to_Transformer,F1,Single Phase,same_pole
133-12-J,133-12-H,133-12-J,133-12-J,Primary_to_Transformer,F1,Single Phase,same_pole
99-4,99-3,99-4,99-4,Primary_to_Transformer,F6,V Phase,same_pole
99-10A-a,99-10B,99-10B-a,99-10B-a,Primary_to_Transformer,F6,Single Phase,same_pole
99-8-b,99-8-a,99-8-b,99-8-b,Primary_to_Transformer,F6,Single Phase,same_pole
99-8-c,99-8-b,99-8-c,99-8-c,Primary_to_Transformer,F6,Single Phase,same_pole
99-13,99-12,99-13,99-13,Primary_to_Transformer,F6,Single Phase,same_pole
99-13a,99-12,99-13a,99-13a,Primary_to_Transformer,F6,Single Phase,same_pole
99-18,99-17,99-18,99-18,Primary_to_Transformer,F6,Single Phase,same_pole
101,100,101,101,Primary_to_Transformer,F6,3 Phase,same_pole
87,86,87,87,Primary_to_Transformer,F7,3 Phase,same_pole
124,123-3,124,124,Primary_to_Transformer,F7,3 Phase,same_pole
127,126,127,127,Primary_to_Transformer,F7,3 Phase,same_pole
129,128-1,129,129,Primary_to_Transformer,F7,3 Phase,same_pole
135-4,mmk yes iiobv good gonna bb BB na,135-4,135-4,Primary_to_Transformer,F7,3 Phase,same_pole
135-10--a,135-10,135-10-a,135-10-a,Primary_to_Transformer,F7,Single Phase,same_pole
135-10--b-1,135_10-b,135-10-b-1,135-10-b-1,Primary_to_Transformer,F7,Single Phase,same_pole
135-17,135-16,135-17,135-17,Primary_to_Transformer,F7,3 Phase,same_pole
74,4,74,74,Transformer_to_Secondary,F6,3 Phase,same_pole
73,5,73,73,Transformer_to_Secondary,F6,3 Phase,same_pole
63,4,64,64,Transformer_to_Secondary,F6,3 Phase,same_pole
64-j,8,64-j,64-j,Transformer_to_Secondary,F6,Single Phase,same_pole
63,5,63,63,Transformer_to_Secondary,F6,3 Phase,same_pole
57,2,57,57,Transformer_to_Secondary,F6,3 Phase,same_pole
54,4,55,55,Transformer_to_Secondary,F6,3 Phase,same_pole
48,48-a,48-a,48-a,Transformer_to_Secondary,F6,3 Phase,same_pole
47-a-e-K,47-a-e-K,47-a-e-L,47-a-e-L,Transformer_to_Secondary,F6,Single Phase,same_pole
47-a-e-S-B,47-a-e-S-B,47-a-e-S-C,47-a-e-S-C,Transformer_to_Secondary,F6,Single Phase,same_pole
47-a-e-S-B,47-a-e-S-C,47-a-e-S-D,47-a-e-S-D,Transformer_to_Secondary,F6,Single Phase,same_pole
47-a-e-S-B,47-a-e-S-D,47-a-e-S-E,47-a-e-S-E,Transformer_to_Secondary,F6,Single Phase,same_pole
