pole_number,latitude,longitude,feeder,circuit,primary_bus,transformer_bus,secondary_bus
81,11.29788001,124.6821812,F6,3 Phase,81,,
80,11.29797571,124.6819454,F6,3 Phase,80,,80-2
79,11.29840378,124.6811695,F6,3 Phase,79,,79-3
79-a,11.29833,124.68056,F6,Unknown,,,79-3a
78,11.29874774,124.6805036,F6,3 Phase,78,,
77,11.29896082,124.6801015,F6,3 Phase,77,,1
76,11.29901377,124.6794234,F6,3 Phase,76,,2
74,11.29906097,124.6785288,F6,3 Phase,74,74,4
74-a,11.29880436,124.6787228,F6,3 Phase,74-a,,4-a
73,11.29907882,124.6778973,F6,3 Phase,73,73,5
72,11.29911201,124.677731,F6,3 Phase,72,,6
72-A,11.29973427,124.6776181,F6,3 Phase,,,6-A
72-B,11.30026287,124.6776181,F6,3 Phase,,,6-B
72-C,11.3008,124.67778,F6,3 Phase,,,6-C
72-a,11.29895,124.6776,F6,3 Phase,,,6-a
72-b,11.29828,124.67768,F6,3 Phase,,,6-b
71,11.29923,124.67722,F6,3 Phase,71,,7
70,11.29919891,124.6762625,F6,3 Phase,70,,8
70-a,11.29902962,124.6762203,F6,3 Phase,,,8-a
69,11.29927221,124.675223,F6,3 Phase,69,,
68,11.29906345,124.6742276,F6,3 Phase,68,,
67,11.29881081,124.6732692,F6,3 Phase,67,,1
66,11.29864316,124.6726045,F6,3 Phase,66,,2
65,11.29842138,124.671998,F6,3 Phase,65,,3
64,11.29829396,124.6714681,F6,3 Phase,64,63,4
64-A,11.29875,124.6711,F6,3 Phase,,,4-A
64-B,11.29927,124.6713,F6,3 Phase,,,4-B
64-C,11.29993,124.6712,F6,3 Phase,,,4-C
64-D,11.30038,124.6712,F6,3 Phase,,,4-D
64-E,11.30095,124.6712,F6,3 Phase,,,4-E
64-a,11.2979287,124.6717298,F6,Single Phase,64-a,,
64-b,11.29751863,124.672004,F6,Single Phase,64-b,63-b,
64-c,11.29704267,124.6719867,F6,Single Phase,64-c,,1
64-d,11.29661581,124.6723295,F6,Single Phase,64-d,,2
64-e,11.29617925,124.6724936,F6,Single Phase,64-e,,3
64-f,11.29575732,124.672746,F6,Single Phase,64-f,,4
64-g,11.2951617,124.6727784,F6,Single Phase,64-g,,5
64-,11.2948174,124.6732134,F6,Single Phase,64-h,,6
64-i,11.29444423,124.6736626,F6,Single Phase,64-i,,7
64-j,11.29415751,124.6743706,F6,Single Phase,64-j,64-j,8
64-k,11.29405921,124.6751462,F6,Single Phase,64-k,,9
64-l,11.29390446,124.6756454,F6,Single Phase,64-l,,10
64-m,11.29345958,124.6759573,F6,Single Phase,64-m,,11
64-n,11.29302235,124.6759693,F6,Single Phase,64-n,,12
64-n-a,11.29311838,124.6753658,F6,Single Phase,64-n-a,,
64-n-b,11.29304,124.67489,F6,Single Phase,64-n-b,,
64-n-b-a,11.29249764,124.6760407,F6,Single Phase,64-n-b-a,,13
64-n-b-b,11.29221618,124.6760961,F6,Single Phase,64-n-b-b,,14
64-n-b-c,11.29232646,124.676625,F6,Single Phase,64-n-b-c,,15
64-n-b-e,11.29248867,124.6771338,F6,Single Phase,64-n-b-e,,16
64-n-b-f,11.29250129,124.677637,F6,Single Phase,64-n-b-f,,17
64-n-b-g,11.29187817,124.6775657,F6,Single Phase,64-n-b-g,,18
64-n-b-h,11.29168379,124.6780031,F6,Single Phase,64-n-b-h,,19
64-n-b-i,11.29149406,124.6784656,F6,Single Phase,64-n-b-i,,20
64-n-b-j,11.2909,124.6783,F6,Single Phase,64-n-b-j,,21
64-n-b-k,11.29031,124.67804,F6,Single Phase,64-n-b-k,,22
64-n-b-l,11.2899,124.67794,F6,Single Phase,64-n-b-l,,23
63,11.29804571,124.6709567,F6,3 Phase,63,63,5
62,11.29792295,124.6704663,F6,3 Phase,62,,6
62-a,11.29776776,124.6705173,F6,Single Phase,,,6-a
61,11.29771684,124.6699312,F6,3 Phase,61,,7
60,11.29747024,124.6692282,F6,3 Phase,60,,8
59,11.29722082,124.6684804,F6,3 Phase,59,,9
58,11.29689802,124.6675317,F6,3 Phase,58,,1
57,11.29653548,124.6665067,F6,3 Phase,57,57,2
56,11.2961881,124.6655924,F6,3 Phase,56,,3
55,11.29592998,124.6648224,F6,3 Phase,55,54,4
55-a,11.29578622,124.6648303,F6,Single Phase,,,4-a
