ID: 38, Num: 37, Name: Pole 38, TX: P0000000065
ID: 41, Num: 40, Name: Pole 41, TX: P0000000073
ID: 158, Num: 157, Name: Pole 158, TX: P0000000111
ID: 159, Num: 158, Name: Pole 159, TX: P000000111A
ID: 157, Num: 156, Name: Pole 157, TX: P0000000110
ID: 224, Num: 223, Name: Pole 224, TX: P0000000132
ID: 11, Num: 10, Name: Pole 11, TX: P0000000009
ID: 12, Num: 11, Name: Pole 12, TX: P0000000013
ID: 13, Num: 12, Name: Pole 13, TX: P0000000015
ID: 16, Num: 15, Name: Pole 16, TX: P0000000025
ID: 17, Num: 16, Name: Pole 17, TX: P0000000034
ID: 407, Num: None, Name: Pole P92-2, TX: P0000000092-2
ID: 410, Num: None, Name: Pole P92-5, TX: P0000000092-5
ID: 412, Num: None, Name: Pole P92-7, TX: P0000000092-7
ID: 25, Num: 24, Name: Pole 25, TX: P0000000038
ID: 165, Num: 164, Name: Pole 165, TX: P000000115C
ID: 167, Num: 166, Name: Pole 167, TX: P0000000116
ID: 168, Num: 167, Name: Pole 168, TX: P0000000117
ID: 169, Num: 168, Name: Pole 169, TX: P000000117B
ID: 170, Num: 169, Name: Pole 170, TX: P0000000119
ID: 172, Num: 171, Name: Pole 172, TX: P0000000121
ID: 173, Num: 172, Name: Pole 173, TX: P000000121A
ID: 174, Num: 173, Name: Pole 174, TX: P0000000122
ID: 179, Num: 178, Name: Pole 179, TX: P0000000125
ID: 180, Num: 179, Name: Pole 180, TX: P000000125A
ID: 195, Num: 194, Name: Pole 195, TX: P0000000129
ID: 29, Num: 28, Name: Pole 29, TX: P0000000045
ID: 32, Num: 31, Name: Pole 32, TX: P0000000049
ID: 35, Num: 34, Name: Pole 35, TX: P0000000054
ID: 43, Num: 42, Name: Pole 43, TX: P0000000090
ID: 44, Num: 43, Name: Pole 44, TX: P0000000091
ID: 45, Num: 44, Name: Pole 45, TX: P000000091A
ID: 47, Num: 46, Name: Pole 47, TX: P0000000092
ID: 55, Num: 54, Name: Pole 55, TX: P0000000093
ID: 56, Num: 55, Name: Pole 56, TX: P0000000094
ID: 57, Num: 56, Name: Pole 57, TX: P000000094A
ID: 58, Num: 57, Name: Pole 58, TX: P000000094B
ID: 59, Num: 58, Name: Pole 59, TX: P000000094C
ID: 62, Num: 61, Name: Pole 62, TX: P0000000099
ID: 63, Num: 62, Name: Pole 63, TX: P0000000100
ID: 64, Num: 63, Name: Pole 64, TX: P000000100A
ID: 106, Num: 105, Name: Pole 106, TX: P0000000102
ID: 107, Num: 106, Name: Pole 107, TX: P0000000106
ID: 160, Num: 159, Name: Pole 160, TX: P0000000112
ID: 162, Num: 161, Name: Pole 162, TX: P0000000115
ID: 163, Num: 162, Name: Pole 163, TX: P000000115A
ID: 164, Num: 163, Name: Pole 164, TX: P000000115B
ID: 240, Num: 239, Name: Pole 240, TX: P0000000137
ID: 323, Num: None, Name: Pole P16-13, TX: P0000000016-13
ID: 332, Num: None, Name: Pole P34-7A, TX: P0000000034-7A
ID: 334, Num: None, Name: Pole P34-9A, TX: P0000000034-9a
ID: 375, Num: None, Name: Pole P72-7, TX: P0000000072-7
ID: 413, Num: None, Name: Pole P92-8, TX: P0000000092-8
ID: 414, Num: None, Name: Pole P92-9, TX: P0000000092-9
