ID=959, Pole='1', BusID='P00000000', DT='None'
ID=960, Pole='2', BusID='P00000001', DT='None'
ID=961, Pole='3', BusID='P00000001-7', DT='DT00000001-7AU'
ID=962, Pole='4', BusID='P00000001-7A', DT='None'
ID=963, Pole='5', BusID='P00000001-9', DT='DT00000001-9U'
ID=964, Pole='6', BusID='P00000001-17', DT='DT00000001-17U'
ID=965, Pole='7', BusID='P00000001-19', DT='None'
ID=966, Pole='8', BusID='P00000001-19-10', DT='DT00000001-19-10U'
ID=967, Pole='9', BusID='P00000001-19-38', DT='DT00000001-19-38U'
ID=968, Pole='10', BusID='P00000001-24', DT='None'
ID=969, Pole='11', BusID='P0000000009', DT='DT0000000009U'
ID=970, Pole='12', BusID='P0000000013', DT='DT0000000013U'
ID=971, Pole='13', BusID='P0000000015', DT='DT0000000015U'
ID=972, Pole='14', BusID='P0000000016', DT='None'
ID=973, Pole='15', BusID='P0000000016-13', DT='DT0000000016-13U'
ID=974, Pole='16', BusID='P0000000025', DT='DT0000000025U'
ID=975, Pole='17', BusID='P0000000034', DT='DT0000000034U'
ID=976, Pole='18', BusID='P000000034A', DT='None'
ID=977, Pole='19', BusID='P0000000034-7', DT='None'
ID=978, Pole='20', BusID='P0000000034-7A', DT='DT0000000034-7AU'
ID=979, Pole='21', BusID='P0000000034-9', DT='None'
ID=980, Pole='22', BusID='P0000000034-9a', DT='DT0000000034-9aU'
ID=981, Pole='23', BusID='P0000000034-18', DT='DT0000000034-18U'
ID=982, Pole='24', BusID='P0000000034-29', DT='DT0000000034-29U'
ID=983, Pole='25', BusID='P0000000038', DT='DT0000000038U'
ID=984, Pole='26', BusID='P0000000044', DT='None'
ID=985, Pole='27', BusID='P0000000044-29', DT='DT0000000044-29U'
ID=986, Pole='28', BusID='P0000000044-64', DT='DT0000000044-64U'
ID=987, Pole='29', BusID='P0000000045', DT='DT0000000045U'
ID=988, Pole='30', BusID='P0000000046', DT='None'
ID=989, Pole='31', BusID='P0000000046-22', DT='DT0000000046-22U'
ID=990, Pole='32', BusID='P0000000049', DT='DT0000000049U'
ID=991, Pole='33', BusID='P0000000049A', DT='None'
ID=992, Pole='34', BusID='P0000000049-3', DT='DT0000000049-3U'
ID=993, Pole='35', BusID='P0000000054', DT='DT0000000054U'
ID=994, Pole='36', BusID='P000000054A', DT='None'
ID=995, Pole='37', BusID='P0000000054-20', DT='DT0000000054-20U'
ID=996, Pole='38', BusID='P0000000065', DT='DT0000000065U'
ID=997, Pole='39', BusID='P0000000072', DT='None'
ID=998, Pole='40', BusID='P0000000072-7', DT='DT0000000072-7U'
ID=999, Pole='41', BusID='P0000000073', DT='DT0000000073U'
ID=1000, Pole='42', BusID='P0000000076', DT='None'
ID=1001, Pole='43', BusID='P0000000090', DT='DT0000000090U'
ID=1002, Pole='44', BusID='P0000000091', DT='DT0000000091U'
ID=1003, Pole='45', BusID='P000000091A', DT='DT000000091AU'
ID=1004, Pole='46', BusID='P000000091B', DT='None'
