Count,Load Curve ID,Customer Type,Description,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
1,LCRES1,RES1,RESIDENTIAL CONSUMERS (50Kwhr and below),0.35,0.32,0.33,0.38,0.42,0.29,0.29,0.19,0.21,0.19,0.20,0.22,0.22,0.26,0.29,0.28,0.58,0.99,1.00,0.88,0.74,0.55,0.40,0.36
2,LCRES2,RES2,RESIDENTIAL CONSUMERS (51-100kWhr),0.31,0.26,0.26,0.24,0.30,0.34,0.31,0.34,0.31,0.28,0.28,0.37,0.42,0.37,0.30,0.30,0.35,0.68,1.00,0.81,0.69,0.58,0.41,0.37
3,LCRES3,RES3,RESIDENTIAL CONSUMERS (101-175 kWhr),0.31,0.31,0.28,0.28,0.54,0.85,0.78,0.71,0.57,0.41,0.32,0.28,0.27,0.25,0.23,0.30,0.35,0.34,1.00,0.22,0.22,0.32,0.33,0.33
4,LCRES4,RES4,RESIDENCIAL CONSUMERS (175 kwhr & above),0.27,0.19,0.19,0.16,0.23,0.26,0.45,0.68,0.60,0.81,0.72,1.00,0.57,0.50,0.59,0.21,0.17,0.40,0.41,0.35,0.16,0.47,0.30,0.25
5,LCCOM1,COM1,COMMERCIAL (below 200 KWH consumption),0.46,0.37,0.37,0.34,0.41,0.45,0.64,0.86,0.79,1.00,0.90,1.00,0.75,0.69,0.78,0.39,0.35,0.58,0.60,0.54,0.34,0.66,0.48,0.43
6,LCCOM2,COM2,COMMERCIAL (200 to 400 KWh consumption),0.64,0.61,0.61,0.64,0.64,0.67,0.60,0.76,0.75,0.88,0.92,0.95,1.00,0.72,0.59,0.70,0.79,0.95,0.90,0.87,0.88,0.69,0.48,0.57
7,LCCOM3,COM3,COMMERCIAL (above 400 KWH consumption),0.52,0.71,0.67,0.60,0.56,0.34,0.38,0.41,0.46,0.80,0.71,0.79,0.73,0.67,0.80,0.55,0.54,0.59,0.71,0.91,0.95,1.00,0.95,0.74
8,LCINDL1,INDL1,INDUSTRIAL (below 200 KWH consumption),0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.96,0.22,0.22,0.94,0.00,0.93,0.22,1.00,0.23,0.00,0.06,0.02,0.02,0.01,0.01,0.01,0.01
9,LCINDL2,INDL2,INDUSTRIAL (200 to 400 KWh consumption),0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.89,0.87,0.05,0.87,0.02,0.89,1.00,0.03,0.91,0.02,0.05,0.06,0.06,0.05,0.04,0.04,0.05
10,LCINDL3,INDL3,INDUSTRIAL (above 400 KWH consumption),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.90,0.85,1.00,0.00,0.77,0.91,0.87,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,LCPB,PB,PUBLIC BUILDING,0.16,0.16,0.16,0.15,0.15,0.15,0.12,0.69,1.00,0.07,0.60,0.43,0.47,0.62,0.67,0.55,0.31,0.18,0.22,0.23,0.18,0.18,0.20,0.16
12,LCST,ST,STREET LIGHT,0.99,0.98,0.98,0.97,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.99,1.00,0.99,1.00,0.99,1.00
