Count,Distribution Transformer ID,"From 
Primary Bus ID","To  
Secondary Bus ID",Primary Phasing,Secondary Phasing,Installation Type,No. DTs in Bank, Connection,KVA Rating,Primary Voltage Rating(kV),Secondary Voltage Rating (kV),Primary Tap Voltage (kV),Secondary Tap Voltage (kV),%Z,X/R Ratio,No-Load Loss (kW),Exciting Current (%)
1,DT00000001-7U,P00000001-7,DT00000001-7,AN,AN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
2,DT00000001-7AU,P00000001-7,DT00000001-7A,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
3,DT00000001-9U,P00000001-9,DT00000001-9,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
4,DT00000001-17U,P00000001-17,DT00000001-17,CN,CN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
5,DT00000001-19-10U,P00000001-19-10,DT00000001-19-10,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
6,DT00000001-19-38U,P00000001-19-38,DT00000001-19-38,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
7,DT0000000009U,P0000000009,DT0000000009,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
8,DT0000000013U,P0000000013,DT0000000013,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
9,DT0000000015U,P0000000015,DT0000000015,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
10,DT0000000016-13U,P0000000016-13,DT0000000016-13,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
11,DT0000000025U,P0000000025,DT0000000025,AN,AN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
12,DT0000000034U,P0000000034,DT0000000034,CN,CN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
13,DT0000000034-7AU,P0000000034-7A,DT0000000034-7A,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
14,DT0000000034-9aU,P0000000034-9a,DT0000000034-9a,BN,BN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
15,DT0000000034-18U,P0000000034-18,DT0000000034-18,BN,BN,Pole-mounted,1,1,25,7.62,0.24,7.62,0.24,2.3,1.000,0.108,0.493
